brand,car_model,year_of_production,price,mileage,fuel_type,transmission,body,engine_capacity,power,number_of_doors,color
Audi,Q8,2018,267000.0,196335,Diesel,Automatic,SUV,2.967,286.0,5,Navy Blue
Audi,A7,2021,198999.0,93000,Plug-in Hybrid,Automatic,Coupe,1.984,265.0,5,Red
Audi,Q3,2024,191900.0,1,Petrol,Manual,Compact,1.498,150.0,5,Red
Audi,Q5,2024,234900.0,1,Diesel,Automatic,SUV,1.968,204.0,5,Blue
Audi,A6,2020,189800.0,98227,Diesel,Automatic,Wagon,2.967,286.0,5,Burgundy
Audi,A1,2012,39800.0,67000,Petrol,Manual,Compact,1.197,86.0,5,White
Audi,Q3,2016,68000.0,207000,Diesel,Manual,SUV,1.968,150.0,5,Black
Audi,A3,2017,89500.0,46344,Petrol,Automatic,Compact,1.395,150.0,5,Navy Blue
Audi,A6,2007,26900.0,254000,Diesel,Automatic,Wagon,2.967,233.0,4,Black
Audi,Q2,2022,149000.0,25000,Petrol,Automatic,City Car,1.498,150.0,5,White
Audi,A6,2020,174900.0,78880,Diesel,Automatic,Wagon,2.967,231.0,4,Burgundy
Audi,A3,2016,77900.0,133927,Petrol,Automatic,Sedan,1.798,180.0,5,Black
Audi,Q7,2017,133000.0,100000,Petrol,Automatic,SUV,2.995,333.0,5,White
Audi,A6,2022,134800.0,99000,Diesel,Automatic,Wagon,1.968,204.0,5,Gray
Audi,A4,2017,85000.0,180000,Petrol,Automatic,Sedan,1.984,252.0,5,Gray
Audi,A3,2016,62500.0,142000,Petrol,Automatic,Sedan,1.984,190.0,4,Black
Audi,A4,2003,11900.0,268600,Diesel,Manual,Sedan,1.896,130.0,4,Blue
Audi,A3,2006,18900.0,186587,Petrol,Manual,Compact,1.595,102.0,5,Black
Audi,Q7,2023,369800.0,20744,Diesel,Automatic,Wagon,2.998,286.0,5,Blue
Audi,A6,2018,174800.0,50858,Petrol,Automatic,Wagon,1.984,245.0,5,Gray
Audi,A6,2023,219800.0,13370,Petrol,Automatic,Wagon,1.984,265.0,5,Blue
Audi,Q7,2024,426800.0,1,Diesel,Automatic,Wagon,2.967,286.0,5,Gray
Audi,A4,2008,29500.0,275000,Diesel,Manual,Sedan,1.968,136.0,4,Light Blue
Audi,Q7,2017,147700.0,69200,Petrol,Automatic,SUV,2.995,333.0,5,Black
Audi,A6,2018,95000.0,165000,Diesel,Automatic,Sedan,1.968,190.0,4,White
Audi,A6,2017,71500.0,235000,Diesel,Automatic,Sedan,1.968,190.0,5,Black
Audi,A3,2003,7499.0,204000,Petrol,Manual,Small Car,1.984,149.0,3,Black
