Marka,Model,Rok produkcji,Cena,Przebieg,Rodzaj paliwa,Skrzynia biegów,Typ nadwozia,Pojemność skokowa,Moc,Liczba drzwi,Kolor
Audi,Q8,2018,267 000 PLN,196 335 km,Diesel,Automatyczna,SUV,2 967 cm3,286 KM,5,Granatowy
Audi,A7,2021,198 999,93 000 km,Hybryda Plug-in,Automatyczna,Coupe,1 984 cm3,265 KM,5,Czerwony
Audi,RS7,2024,798 600 PLN,5 km,Benzyna,Automatyczna,Kompakt,3 996 cm3,630 KM,5,Czarny
Audi,Q3,2024,191 900 PLN,1 km,Benzyna,Manualna,Kompakt,1 498 cm3,150 KM,5,Czerwony
Audi,Q5,2024,234 900 PLN,1 km,Diesel,Automatyczna,SUV,1 968 cm3,204 KM,5,Niebieski
Audi,A6,2020,189 800 PLN,98 227 km,Diesel,Automatyczna,Kombi,2 967 cm3,286 KM,5,Bordowy
Audi,A1,2012,39 800 PLN,67 000 km,Benzyna,Manualna,Kompakt,1 197 cm3,86 KM,5,Biały
Audi,Q3,2016,68 000 PLN,207 000 km,Diesel,Manualna,SUV,1 968 cm3,150 KM,5,Czarny
Audi,Q5 Sportback,2018,142 000 PLN,57 000 km,Diesel,Automatyczna,Kombi,1 968 cm3,163 KM,5,Czarny
Audi,A3,2017,89 500 PLN,46 344 km,Benzyna,Automatyczna,Kompakt,1 395 cm3,150 KM,5,Granatowy
Audi,A6,2007,26 900 PLN,254 000 km,Diesel,Automatyczna,Kombi,2 967 cm3,233 KM,4,Czarny
Audi,Q2,2022,149 000 PLN,25 000 km,Benzyna,Automatyczna,Auta miejskie,1 498 cm3,150 KM,5,Biały
Audi,A6,2020,174 900 PLN,78 880 km,Diesel,Automatyczna,Kombi,2 967 cm3,231 KM,4,Bordowy
Audi,A3,2016,77 900 PLN,133 927 km,Benzyna,Automatyczna,Sedan,1 798 cm3,180 KM,5,Czarny
Audi,Q7,2017,133 000 PLN,100 000 km,Benzyna,Automatyczna,SUV,2 995 cm3,333 KM,5,Biały
Audi,A6,2022,134 800 PLN,99 000 km,Diesel,Automatyczna,Kombi,1 968 cm3,204 KM,5,Szary
Audi,A4,2017,85 000 PLN,180 000 km,Benzyna,Automatyczna,Sedan,1 984 cm3,252 KM,5,Szary
Audi,SQ5,2014,89 900 PLN,225 470 km,Benzyna,Automatyczna,SUV,2 995 cm3,354 KM,5,Czarny
Audi,A3,2016,62 500 PLN,142 000 km,Benzyna,Automatyczna,Sedan,1 984 cm3,190 KM,4,Czarny
Audi,A4,2003,11 900 PLN,268 600 km,Diesel,Manualna,Sedan,1 896 cm3,130 KM,4,Niebieski
Audi,A3,2006,18 900 PLN,186 587 km,Benzyna,Manualna,Kompakt,1 595 cm3,102 KM,5,Czarny
Audi,Q7,2023,369 800 PLN,20 744 km,Diesel,Automatyczna,Kombi,2 998 cm3,286 KM,5,Niebieski
Audi,A6,2018,174 800 PLN,50 858 km,Benzyna,Automatyczna,Kombi,1 984 cm3,245 KM,5,Szary
Audi,A6,2023,219 800 PLN,13 370 km,Benzyna,Automatyczna,Kombi,1 984 cm3,265 KM,5,Niebieski
Audi,Q7,2024,426 800 PLN,1 km,Diesel,Automatyczna,Kombi,2 967 cm3,286 KM,5,Szary
Audi,A4,2008,29 500 PLN,275 000 km,Diesel,Manualna,Sedan,1 968 cm3,136 KM,4,Błękitny
Audi,Q7,2017,147 700 PLN,69 200 km,Benzyna,Automatyczna,SUV,2 995 cm3,333 KM,5,Czarny
