Marka,Model,Rok produkcji,Cena,Przebieg,Rodzaj paliwa,Skrzynia biegów,Typ nadwozia,Pojemność skokowa,Moc,Liczba drzwi,Kolor
BMW,Seria 3,2021,144 000 PLN,46 500 km,Benzyna,Automatyczna,Kombi,1 998 cm3,156 KM,5,Biały
BMW,Seria 3,2007,52 000 PLN,230 000 km,Diesel,Automatyczna,Coupe,2 993 cm3,285 KM,4,Szary
BMW,X5,2024,317 200 PLN,4 100 km,Diesel,Automatyczna,SUV,2 993 cm3,265 KM,5,Czarny
BMW,Seria 5,2012,63 500 PLN,239 000 km,Diesel,Automatyczna,Sedan,1 995 cm3,184 KM,4,Czarny
BMW,Seria 5,2006,21 900 PLN,346 392 km,Benzyna+LPG,Manualna,Sedan,2 497 cm3,177 KM,5,Czarny
BMW,Seria 5,2009,27 500 PLN,370 800 km,Diesel,Automatyczna,Kombi,2 993 cm3,286 KM,5,Czarny
BMW,Seria 5,2020,148 888 PLN,144 000 km,Benzyna,Automatyczna,Kombi,1 998 cm3,252 KM,5,Srebrny
BMW,Seria 3,2022,169 900 PLN,24 077 km,Hybryda Plug-in,Automatyczna,Sedan,1 998 cm3,292 KM,4,Niebieski
BMW,X6,2010,75 500 PLN,188 400 km,Diesel,Automatyczna,SUV,2 993 cm3,306 KM,5,Czarny
BMW,Seria 3,2010,66 000 PLN,172 000 km,Benzyna,Manualna,Coupe,2 979 cm3,306 KM,2,Czarny
BMW,Seria 5,2007,19 900 PLN,269 908 km,Diesel,Manualna,Sedan,1 995 cm3,163 KM,5,Czarny
BMW,X6,2020,410 000 PLN,69 283 km,Diesel,Automatyczna,SUV,2 993 cm3,400 KM,5,Czarny
BMW,Seria 5,2006,28 900 PLN,240 000 km,Diesel,Automatyczna,Kombi,2 993 cm3,231 KM,5,Granatowy
BMW,Seria 3,2024,206 000 PLN,1 km,Benzyna,Automatyczna,Sedan,1 998 cm3,184 KM,4,Biały
BMW,Seria 1,2010,24 900 PLN,219 000 km,Benzyna,Manualna,Coupe,1 995 cm3,122 KM,3,Czarny
BMW,Seria 3,2007,30 500 PLN,204 830 km,Diesel,Manualna,Coupe,1 995 cm3,177 KM,2,Czarny
BMW,3GT,2014,71 000 PLN,119 400 km,Benzyna,Automatyczna,Coupe,1 997 cm3,245 KM,5,Czarny
BMW,Seria 3,2014,46 900 PLN,268 000 km,Diesel,Automatyczna,Kombi,1 995 cm3,218 KM,5,Granatowy
BMW,Seria 1,2004,18 500 PLN,287 000 km,Diesel,Manualna,Kompakt,1 995 cm3,163 KM,5,Inny kolor
BMW,X6,2017,199 000 PLN,136 665 km,Diesel,Automatyczna,SUV,2 993 cm3,381 KM,5,Czarny
BMW,X3,2011,51 000 PLN,283 000 km,Diesel,Automatyczna,SUV,1 995 cm3,184 KM,5,Szary
BMW,Seria 7,2016,163 900 PLN,169 000 km,Diesel,Automatyczna,Sedan,2 993 cm3,265 KM,4,Szary
BMW,Seria 3,2011,28 905 PLN,370 000 km,Diesel,Automatyczna,Kombi,1 995 cm3,184 KM,5,Szary
BMW,X5,2010,49 000 PLN,200 000 km,Benzyna,Automatyczna,SUV,2 979 cm3,306 KM,5,Szary
