Marka,Model,Rok produkcji,Cena,Przebieg,Rodzaj paliwa,Skrzynia biegów,Typ nadwozia,Pojemność skokowa,Moc,Liczba drzwi,Kolor
Citroën,C4,2010,6 500 PLN,250 000 km,Diesel,Automatyczna,Minivan,1 560 cm3,109 KM,5,Czarny
Citroën,Berlingo,2015,28 500 PLN,216 229 km,Diesel,Manualna,Minivan,1 560 cm3,115 KM,5,Srebrny
Citroën,C4,2024,103 900 PLN,1 km,Benzyna,Automatyczna,Kompakt,1 199 cm3,130 KM,5,Szary
Citroën,C4,2011,23 000 PLN,195 000 km,Benzyna,Manualna,Kompakt,1 598 cm3,120 KM,5,Czarny
Citroën,C4 Grand Picasso,2015,35 999 PLN,232 778 km,Diesel,Automatyczna,Minivan,1 997 cm3,150 KM,5,Czarny
Citroën,C4 Picasso,2007,10 800 PLN,309 304 km,Diesel,Manualna,Minivan,1 560 cm3,110 KM,5,Niebieski
Citroën,C3 Aircross,2024,58 900 PLN,10 500 km,Benzyna,Automatyczna,SUV,1 199 cm3,130 KM,5,Niebieski
Citroën,C4 Cactus,2014,36 500 PLN,97 000 km,Benzyna,Manualna,SUV,1 199 cm3,110 KM,5,Biały
Citroën,C5,2006,8 500 PLN,279 143 km,Diesel,Manualna,Kombi,1 997 cm3,136 KM,5,Srebrny
Citroën,Nemo,2011,16 000 PLN,169 872 km,Benzyna,Manualna,Minivan,1 360 cm3,75 KM,4,Błękitny
Citroën,C1,2006,6 500 PLN,122 000 km,Benzyna,Manualna,Auta małe,998 cm3,68 KM,5,Szary
Citroën,C4,2012,28 900 PLN,185 000 km,Benzyna,Automatyczna,Kompakt,1 598 cm3,156 KM,5,Biały
Citroën,Jumpy Combi,2008,28 900 PLN,237 000 km,Diesel,Manualna,Kombi,1 997 cm3,136 KM,4,Szary
Citroën,C5 Aircross,2019,79 900 PLN,149 000 km,Benzyna,Automatyczna,SUV,1 598 cm3,180 KM,5,Biały
Citroën,C5,2010,21 000 PLN,293 000 km,Diesel,Automatyczna,Sedan,2 992 cm3,241 KM,5,Złoty
Citroën,C3 Picasso,2016,26 400 PLN,80 000 km,Diesel,Manualna,Auta małe,1 560 cm3,109 KM,5,Szary
Citroën,C3,2020,53 900 PLN,89 074 km,Benzyna,Manualna,Auta miejskie,1 199 cm3,110 KM,5,Szary
Citroën,C4 Grand Picasso,2016,49 000 PLN,152 000 km,Diesel,Automatyczna,Minivan,1 997 cm3,150 KM,5,Szary
Citroën,C5,2015,32 600 PLN,244 000 km,Diesel,Manualna,Kombi,1 997 cm3,140 KM,5,Biały
Citroën,C3,2019,42 900 PLN,73 300 km,Diesel,Manualna,Auta małe,1 499 cm3,102 KM,5,Biały
