Marka,Model,Rok produkcji,Cena,Przebieg,Rodzaj paliwa,Skrzynia biegów,Typ nadwozia,Pojemność skokowa,Moc,Liczba drzwi,Kolor
Dodge,Durango,2020,173 000 PLN,42 500 km,Benzyna,Automatyczna,SUV,5 654 cm3,360 KM,5,Biały
Dodge,Durango,2022,319 999 PLN,27 500 km,Benzyna,Automatyczna,SUV,6 417 cm3,475 KM,5,Szary
Dodge,Journey,2010,22 800 PLN,217 000 km,Diesel,Automatyczna,Minivan,1 968 cm3,140 KM,5,Srebrny
Dodge,Durango,2016,92 000 PLN,188 000 km,Benzyna+LPG,Automatyczna,SUV,3 604 cm3,299 KM,5,Czarny
Dodge,Durango,2017,110 000 PLN,166 000 km,Benzyna+LPG,Automatyczna,SUV,3 604 cm3,299 KM,5,Biały
Dodge,RAM,2021,184 000 PLN,22 000 km,Benzyna,Automatyczna,SUV,5 654 cm3,390 KM,4,Biały
Dodge,RAM,2017,125 000 PLN,164 000 km,Benzyna,Automatyczna,SUV,5 654 cm3,390 KM,4,Szary
Dodge,Grand Caravan,2015,42 700 PLN,96 600 km,Benzyna,Automatyczna,Minivan,3 605 cm3,283 KM,5,Biały
Dodge,Challenger,2015,93 500 PLN,190 000 km,Benzyna,Automatyczna,Coupe,3 604 cm3,305 KM,2,Czarny
Dodge,Charger,2018,238 000 PLN,50 000 km,Benzyna,Automatyczna,Sedan,6 166 cm3,707 KM,4,Czarny
Dodge,Grand Caravan,2020,69 900 PLN,160 000 km,Benzyna,Automatyczna,Minivan,3 605 cm3,1 KM,5,Szary
Dodge,Grand Caravan,2020,65 700 PLN,162 000 km,Benzyna,Automatyczna,Minivan,3 605 cm3,283 KM,5,Bordowy
Dodge,Journey,2018,60 500 PLN,148 200 km,Benzyna,Automatyczna,SUV,3 605 cm3,287 KM,5,Czerwony
Dodge,RAM,2020,185 000 PLN,147 000 km,Benzyna+LPG,Automatyczna,SUV,5 654 cm3,390 KM,4,Biały
Dodge,Challenger,2022,182 500 PLN,8 000 km,Benzyna,Automatyczna,Coupe,6 417 cm3,492 KM,2,Zielony
Dodge,Charger,2021,138 900 PLN,19 500 km,Benzyna,Automatyczna,Sedan,6 417 cm3,492 KM,4,Szary
Dodge,Charger,2019,179 000 PLN,30 000 km,Benzyna,Automatyczna,Sedan,5 654 cm3,370 KM,4,Czarny
Dodge,Charger,2018,104 900 PLN,115 931 km,Benzyna+LPG,Automatyczna,Sedan,3 604 cm3,300 KM,4,Biały
Dodge,Journey,2008,24 000 PLN,203 000 km,Diesel,Automatyczna,Minivan,1 968 cm3,140 KM,5,Czarny
Dodge,Challenger,2021,175 000 PLN,28 500 km,Benzyna,Automatyczna,Coupe,5 654 cm3,372 KM,2,Bordowy
Dodge,Durango,2014,94 000 PLN,194 000 km,Benzyna,Automatyczna,SUV,3 604 cm3,299 KM,5,Szary
Dodge,Charger,2015,95 700 PLN,179 826 km,Benzyna+LPG,Automatyczna,Sedan,5 654 cm3,370 KM,4,Czarny
Dodge,Durango,2016,89 000 PLN,232 000 km,Benzyna,Automatyczna,SUV,3 604 cm3,299 KM,5,Biały
Dodge,Challenger,2022,139 500 PLN,29 000 km,Benzyna,Automatyczna,Coupe,3 604 cm3,308 KM,2,Szary
Dodge,Challenger,2023,349 900 PLN,26 km,Benzyna,Automatyczna,Coupe,6 417 cm3,492 KM,2,Czarny
Dodge,Challenger,2023,294 900 PLN,26 km,Benzyna,Automatyczna,Coupe,5 654 cm3,372 KM,2,Szary
Dodge,Challenger,2023,429 900 PLN,26 km,Benzyna,Automatyczna,Coupe,6 417 cm3,492 KM,2,Zielony
Dodge,Durango,2021,554 990 PLN,30 900 km,Benzyna,Automatyczna,SUV,6 166 cm3,719 KM,5,Szary
Dodge,Challenger,2023,349 900 PLN,26 km,Benzyna,Automatyczna,Coupe,6 417 cm3,492 KM,2,Pomarańczowy
Dodge,RAM,2023,299 900 PLN,37 km,Benzyna,Automatyczna,SUV,5 654 cm3,390 KM,4,Czerwony
Dodge,Challenger,2019,234 900 PLN,60 000 km,Benzyna,Automatyczna,Coupe,6 417 cm3,492 KM,2,Czarny
Dodge,Durango,2021,219 000 PLN,92 000 km,Benzyna+LPG,Automatyczna,SUV,5 654 cm3,360 KM,5,Czerwony
Dodge,Journey,2009,18 900 PLN,241 557 km,Diesel,Manualna,SUV,1 968 cm3,140 KM,5,Czarny
Dodge,Challenger,2019,165 000 PLN,66 000 km,Benzyna,Automatyczna,Coupe,5 654 cm3,381 KM,2,Czarny
Dodge,Challenger,2021,135 000 PLN,12 174 km,Benzyna,Automatyczna,Coupe,3 604 cm3,305 KM,2,Czarny
Dodge,RAM,2023,315 000 PLN,8 600 km,Benzyna,Automatyczna,SUV,5 654 cm3,390 KM,4,Srebrny
Dodge,Grand Caravan,2018,72 900 PLN,96 800 km,Benzyna,Automatyczna,Minivan,3 605 cm3,283 KM,5,Biały
Dodge,RAM,2016,114 900 PLN,177 934 km,Benzyna,Automatyczna,SUV,5 654 cm3,390 KM,4,Biały
Dodge,RAM,2021,137 000 PLN,62 000 km,Benzyna,Automatyczna,SUV,5 654 cm3,390 KM,4,Biały
Dodge,Challenger,2013,90 000 PLN,195 000 km,Benzyna,Automatyczna,Coupe,5 654 cm3,370 KM,2,Czarny
Dodge,Challenger,2019,205 000 PLN,45 000 km,Benzyna,Automatyczna,Coupe,6 417 cm3,492 KM,2,Niebieski
Dodge,Durango,2014,55 000 PLN,124 000 km,Benzyna+LPG,Automatyczna,SUV,3 604 cm3,293 KM,5,Granatowy
Dodge,Durango,2021,204 180 PLN,62 200 km,Benzyna,Automatyczna,SUV,5 654 cm3,360 KM,5,Srebrny
Dodge,Grand Caravan,2019,63 900 PLN,176 000 km,Benzyna,Automatyczna,Minivan,3 605 cm3,283 KM,5,Srebrny
Dodge,Grand Caravan,2019,64 999 PLN,129 000 km,Benzyna,Automatyczna,Minivan,3 605 cm3,283 KM,5,Srebrny
Dodge,RAM,2019,129 000 PLN,78 500 km,Benzyna,Automatyczna,SUV,5 654 cm3,390 KM,4,Czarny
Dodge,Grand Caravan,2018,61 900 PLN,108 000 km,Benzyna,Automatyczna,Minivan,3 605 cm3,287 KM,5,Szary
Dodge,Durango,2022,155 000 PLN,36 000 km,Benzyna,Automatyczna,SUV,6 417 cm3,475 KM,5,Biały
Dodge,RAM,2014,105 000 PLN,140 000 km,Benzyna,Automatyczna,SUV,5 654 cm3,390 KM,4,Niebieski
Dodge,Charger,2011,59 800 PLN,192 000 km,Benzyna+LPG,Automatyczna,Sedan,3 604 cm3,305 KM,4,Biały
Dodge,RAM,2021,499 000 PLN,13 000 km,Benzyna,Automatyczna,SUV,5 654 cm3,390 KM,4,Niebieski
Dodge,Charger,2019,105 000 PLN,94 000 km,Benzyna+LPG,Automatyczna,Sedan,3 604 cm3,305 KM,4,Szary
Dodge,Caliber,2007,14 760 PLN,265 000 km,Benzyna+LPG,Manualna,Kompakt,1 798 cm3,150 KM,5,Zielony
Dodge,Challenger,2017,139 499 PLN,68 800 km,Benzyna,Manualna,Coupe,5 654 cm3,372 KM,2,Żółty
Dodge,Dakota,2011,55 700 PLN,302 000 km,Benzyna,Automatyczna,SUV,4 703 cm3,238 KM,4,Szary
Dodge,RAM,2015,67 000 PLN,80 000 km,Benzyna,Automatyczna,SUV,4 701 cm3,310 KM,4,Czarny
