Marka,Model,Rok produkcji,Cena,Przebieg,Rodzaj paliwa,Skrzynia biegów,Typ nadwozia,Pojemność skokowa,Moc,Liczba drzwi,Kolor
Fiat,Punto,2016,22 900 PLN,60 000 km,Benzyna,Manualna,Kompakt,1 368 cm3,77 KM,5,Biały
Fiat,Bravo,2011,21 900 PLN,195 000 km,Benzyna,Manualna,Kompakt,1 368 cm3,140 KM,5,Szary
Fiat,Tipo,2019,43 900 PLN,49 411 km,Benzyna,Manualna,Sedan,1 368 cm3,95 KM,4,Czerwony
Fiat,500,2019,41 000 PLN,23 153 km,Benzyna,Manualna,Auta małe,1 242 cm3,69 KM,3,Czerwony
Fiat,Cinquecento,1993,6 500 PLN,50 143 km,Benzyna,Manualna,Auta małe,903 cm3,41 KM,3,Srebrny
Fiat,Punto,2010,25 461 PLN,137 000 km,Benzyna,Manualna,Auta miejskie,1 242 cm3,69 KM,5,Czarny
Fiat,500X,2016,44 800 PLN,116 000 km,Benzyna,Manualna,SUV,1 368 cm3,140 KM,5,Czarny
Fiat,Tipo,2018,39 900 PLN,107 684 km,Benzyna,Manualna,Sedan,1 368 cm3,95 KM,4,Granatowy
Fiat,Tipo,2019,43 000 PLN,42 300 km,Benzyna,Manualna,Kompakt,1 368 cm3,95 KM,5,Inny kolor
Fiat,Panda,2010,8 600 PLN,218 306 km,Benzyna+LPG,Manualna,Auta małe,1 108 cm3,54 KM,5,Biały
Fiat,Tipo,2024,97 500 PLN,1 km,Diesel,Manualna,Kombi,1 598 cm3,130 KM,5,Niebieski
Fiat,500,2011,19 900 PLN,77 000 km,Benzyna,Automatyczna,Kabriolet,875 cm3,85 KM,2,Srebrny
Fiat,Panda,2021,41 900 PLN,44 139 km,Benzyna,Manualna,Auta małe,999 cm3,70 KM,5,Pomarańczowy
Fiat,Punto Evo,2010,15 400 PLN,186 000 km,Benzyna,Manualna,Kompakt,1 368 cm3,77 KM,5,Granatowy
Fiat,126,1986,13 000 PLN,60 102 km,Benzyna,Manualna,Auta małe,650 cm3,15 KM,2,Niebieski
