Marka,Model,Rok produkcji,Cena,Przebieg,Rodzaj paliwa,Skrzynia biegów,Typ nadwozia,Pojemność skokowa,Moc,Liczba drzwi,Kolor
Ford,S-Max,2020,104 900 PLN,181 000 km,Diesel,Automatyczna,SUV,1 997 cm3,240 KM,5,Czarny
Ford,Mondeo,2016,72 900 PLN,96 437 km,Diesel,Automatyczna,Kombi,1 997 cm3,210 KM,5,Czarny
Ford,Kuga,2019,86 000 PLN,54 500 km,Benzyna,Automatyczna,SUV,1 499 cm3,176 KM,5,Czerwony
Ford,S-Max,2009,13 900 PLN,314 000 km,Diesel,Manualna,Minivan,1 997 cm3,140 KM,5,Szary
Ford,Mondeo,2017,71 000 PLN,185 000 km,Diesel,Automatyczna,Kompakt,1 997 cm3,180 KM,5,Brązowy
Ford,Focus,2015,19 900 PLN,368 000 km,Diesel,Manualna,Kombi,1 560 cm3,115 KM,5,Srebrny
Ford,Galaxy,2009,19 900 PLN,384 938 km,Diesel,Manualna,Minivan,1 997 cm3,140 KM,5,Srebrny
Ford,Focus,2015,35 999 PLN,106 000 km,Elektryczny,Automatyczna,Kompakt,,145 KM,5,Biały
Ford,Puma,2020,70 900 PLN,54 495 km,Benzyna,Manualna,SUV,999 cm3,125 KM,5,Inny kolor
Ford,Galaxy,2007,21 000 PLN,333 034 km,Diesel,Manualna,Minivan,1 997 cm3,130 KM,5,Inny kolor
Ford,Mondeo,2018,59 000 PLN,113 000 km,Benzyna,Manualna,Kombi,1 499 cm3,165 KM,5,Szary
Ford,Mondeo,2015,35 999 PLN,216 000 km,Diesel,Manualna,Kombi,1 498 cm3,120 KM,5,Czarny
Ford,Mondeo,2010,21 900 PLN,181 000 km,Benzyna,Automatyczna,Kombi,2 261 cm3,161 KM,5,Szary
Ford,Edge,2016,81 900 PLN,152 000 km,Benzyna,Automatyczna,SUV,1 998 cm3,245 KM,5,Biały
Ford,EcoSport,2019,64 000 PLN,42 400 km,Benzyna,Manualna,SUV,998 cm3,140 KM,5,Błękitny
