Marka,Model,Rok produkcji,Cena,Przebieg,Rodzaj paliwa,Skrzynia biegów,Typ nadwozia,Pojemność skokowa,Moc,Liczba drzwi,Kolor
Honda,Civic,2012,34 900 PLN,178 000 km,Benzyna,Manualna,Kompakt,1 799 cm3,140 KM,4,Czarny
Honda,Civic,2017,52 900 PLN,159 000 km,Benzyna,Manualna,Auta miejskie,988 cm3,129 KM,5,Biały
Honda,Civic,2009,23 500 PLN,194 800 km,Benzyna,Manualna,Kompakt,1 799 cm3,140 KM,5,Czarny
Honda,Civic,2006,22 500 PLN,203 800 km,Benzyna,Manualna,Kompakt,1 799 cm3,140 KM,4,Czerwony
Honda,Civic,2006,11 000 PLN,243 329 km,Benzyna,Manualna,Kompakt,1 799 cm3,140 KM,4,Czerwony
Honda,Civic,2010,20 500 PLN,250 000 km,Benzyna+LPG,Manualna,Kompakt,1 339 cm3,100 KM,3,Czarny
Honda,Civic,2012,39 900 PLN,134 500 km,Benzyna,Manualna,Sedan,1 798 cm3,142 KM,4,Szary
Honda,HR-V,2017,69 000 PLN,77 050 km,Benzyna,Manualna,Auta miejskie,1 498 cm3,130 KM,5,Niebieski
Honda,Civic,2008,22 900 PLN,143 000 km,Benzyna,Manualna,Kompakt,1 799 cm3,140 KM,5,Czerwony
Honda,Civic,2017,71 000 PLN,83 000 km,Benzyna,Manualna,Kompakt,1 498 cm3,182 KM,5,Czarny
Honda,Civic,2020,84 900 PLN,31 000 km,Benzyna,Manualna,Kompakt,988 cm3,126 KM,5,Szary
Honda,Civic,2009,22 900 PLN,235 000 km,Benzyna,Manualna,Kompakt,1 799 cm3,140 KM,5,Czarny
Honda,Civic,2019,68 000 PLN,138 000 km,Diesel,Manualna,Sedan,1 597 cm3,120 KM,4,Szary
Honda,HR-V,2016,49 000 PLN,140 400 km,Diesel,Manualna,SUV,1 597 cm3,120 KM,5,Czarny
Honda,Accord,2008,30 900 PLN,232 000 km,Benzyna,Manualna,Kombi,1 997 cm3,156 KM,5,Srebrny
Honda,CR-V,2007,34 000 PLN,72 000 km,Benzyna,Automatyczna,SUV,2 354 cm3,156 KM,5,Bordowy
Honda,Civic,2008,23 000 PLN,180 000 km,Benzyna,Manualna,Sedan,1 799 cm3,140 KM,4,Złoty
Honda,Civic,2015,44 900 PLN,224 024 km,Benzyna,Manualna,Kombi,1 798 cm3,142 KM,5,Niebieski
Honda,Civic,2008,20 900 PLN,169 000 km,Benzyna,Manualna,Kompakt,1 798 cm3,140 KM,5,Czarny
Honda,Civic,2016,62 500 PLN,91 000 km,Benzyna,Automatyczna,Kombi,1 798 cm3,142 KM,4,Szary
Honda,Civic,2015,53 900 PLN,93 000 km,Benzyna,Manualna,Kombi,1 798 cm3,142 KM,5,Niebieski
Honda,CR-V,2011,44 900 PLN,121 500 km,Benzyna,Manualna,SUV,1 997 cm3,149 KM,5,Biały
Honda,Jazz,2010,19 700 PLN,167 000 km,Benzyna,Manualna,Auta miejskie,1 339 cm3,100 KM,5,Szary
Honda,Civic,2007,17 000 PLN,261 400 km,Diesel,Manualna,Kompakt,2 204 cm3,140 KM,3,Czerwony
Honda,Accord,2012,44 000 PLN,227 km,Benzyna+LPG,Manualna,Sedan,1 997 cm3,156 KM,4,Szary
Honda,CR-V,2009,33 000 PLN,280 000 km,Benzyna+LPG,Manualna,SUV,1 997 cm3,150 KM,5,Srebrny
Honda,CR-V,2009,18 500 PLN,200 000 km,Benzyna,Automatyczna,SUV,1 997 cm3,149 KM,5,Srebrny
Honda,Accord,2007,22 500 PLN,211 000 km,Benzyna+LPG,Manualna,Sedan,1 998 cm3,155 KM,4,Czarny
Honda,Accord,2008,26 500 PLN,291 000 km,Benzyna+LPG,Manualna,Sedan,1 997 cm3,156 KM,5,Granatowy
Honda,CR-V,2015,85 000 PLN,71 000 km,Benzyna,Manualna,SUV,1 997 cm3,155 KM,5,Czarny
Honda,CR-V,2019,116 000 PLN,30 000 km,Benzyna,Automatyczna,SUV,1 498 cm3,193 KM,5,Biały
Honda,Jazz,2001,7 000 PLN,235 000 km,Benzyna,Manualna,Kompakt,1 339 cm3,83 KM,5,Granatowy
Honda,HR-V,2018,86 900 PLN,94 700 km,Benzyna,Automatyczna,SUV,1 498 cm3,130 KM,5,Niebieski
Honda,Civic,2013,23 500 PLN,404 000 km,Diesel,Manualna,Kompakt,1 597 cm3,120 KM,5,Szary
Honda,Civic,2010,42 000 PLN,148 000 km,Benzyna,Automatyczna,Auta miejskie,1 799 cm3,140 KM,5,Czerwony
Honda,CR-V,2004,24 500 PLN,284 282 km,Benzyna,Automatyczna,SUV,1 998 cm3,150 KM,5,Czarny
Honda,Civic,2009,23 000 PLN,96 377 km,Benzyna,Manualna,Kompakt,1 799 cm3,140 KM,5,Pomarańczowy
Honda,Civic,2017,78 500 PLN,126 500 km,Benzyna,Automatyczna,Kompakt,1 498 cm3,182 KM,5,Czarny
Honda,Civic,2015,51 000 PLN,95 000 km,Benzyna,Manualna,Kompakt,1 339 cm3,100 KM,5,Niebieski
Honda,Accord,2015,39 901,241 174 km,Benzyna,Automatyczna,Sedan,1 997 cm3,156 KM,4,Czarny
Honda,Civic,2009,27 900 PLN,196 000 km,Benzyna,Manualna,Kompakt,1 798 cm3,140 KM,5,Czarny
Honda,Civic,2008,19 500 PLN,184 220 km,Benzyna,Manualna,Coupe,1 799 cm3,140 KM,5,Srebrny
Honda,Civic,2016,86 000 PLN,153 000 km,Benzyna,Manualna,Kompakt,1 996 cm3,310 KM,5,Niebieski
Honda,CR-V,2015,77 777 PLN,173 000 km,Benzyna,Automatyczna,SUV,1 997 cm3,155 KM,5,Biały
Honda,HR-V,2020,97 145 PLN,58 000 km,Benzyna,Automatyczna,SUV,1 498 cm3,130 KM,5,Inny kolor
Honda,CR-V,2020,146 800 PLN,79 000 km,Hybryda,Automatyczna,SUV,1 993 cm3,145 KM,5,Biały
Honda,CR-V,2011,49 850 PLN,180 000 km,Benzyna,Manualna,SUV,1 997 cm3,150 KM,5,Brązowy
Honda,CR-V,2004,15 000 PLN,234 486 km,Benzyna,Manualna,SUV,1 998 cm3,150 KM,5,Szary
Honda,Civic,2019,61 500 PLN,96 000 km,Diesel,Manualna,Sedan,1 597 cm3,120 KM,4,Czarny
Honda,Accord,2004,11 000 PLN,395 000 km,Benzyna,Manualna,Sedan,1 998 cm3,155 KM,4,Czarny
Honda,Accord,2007,17 800 PLN,215 000 km,Benzyna,Manualna,Sedan,1 998 cm3,155 KM,5,Niebieski
Honda,CR-V,2011,38 900 PLN,286 311 km,Benzyna+LPG,Manualna,SUV,1 997 cm3,150 KM,5,Inny kolor
Honda,CR-V,2021,129 900 PLN,67 000 km,Hybryda,Automatyczna,SUV,1 993 cm3,145 KM,5,Srebrny
Honda,CR-V,2014,65 500 PLN,175 000 km,Benzyna,Automatyczna,SUV,1 997 cm3,155 KM,5,Biały
Honda,Civic,2017,99 630 PLN,152 900 km,Benzyna,Manualna,Kompakt,1 996 cm3,310 KM,5,Biały
