Marka,Model,Rok produkcji,Cena,Przebieg,Rodzaj paliwa,Skrzynia biegów,Typ nadwozia,Pojemność skokowa,Moc,Liczba drzwi,Kolor
Hyundai,ix35,2013,39 990 PLN,173 000 km,Benzyna,Manualna,SUV,1 591 cm3,135 KM,5,Biały
Hyundai,i30,2024,105 190 PLN,1 km,Hybryda,Automatyczna,Kombi,1 482 cm3,140 KM,5,Biały
Hyundai,Santa Fe,2016,55 000 PLN,241 000 km,Diesel,Automatyczna,SUV,1 995 cm3,185 KM,5,Czarny
Hyundai,i20,2024,85 932 PLN,1 km,Benzyna,Automatyczna,Auta miejskie,998 cm3,100 KM,5,Niebieski
Hyundai,Tucson,2016,65 900 PLN,182 100 km,Benzyna,Manualna,SUV,1 591 cm3,132 KM,5,Biały
Hyundai,i20,2024,91 100 PLN,1 km,Benzyna,Automatyczna,Auta miejskie,998 cm3,100 KM,5,Niebieski
Hyundai,Kona,2024,119 483 PLN,1 km,Hybryda,Automatyczna,Kompakt,1 580 cm3,105 KM,5,Szary
Hyundai,i30,2018,56 900 PLN,114 000 km,Benzyna,Automatyczna,Kombi,1 353 cm3,140 KM,5,Granatowy
Hyundai,Tucson,2016,79 900 PLN,131 700 km,Diesel,Automatyczna,SUV,1 995 cm3,185 KM,5,Biały
Hyundai,i20,2013,21 900 PLN,152 000 km,Benzyna,Manualna,Kompakt,1 248 cm3,85 KM,5,Szary
Hyundai,Tucson,2022,147 900 PLN,37 600 km,Hybryda,Automatyczna,SUV,1 598 cm3,180 KM,5,Czarny
Hyundai,IONIQ,2016,56 800 PLN,184 420 km,Hybryda,Automatyczna,Sedan,1 580 cm3,105 KM,5,Brązowy
Hyundai,Tucson,2017,71 900 PLN,94 000 km,Benzyna,Manualna,SUV,1 591 cm3,132 KM,5,Inny kolor
Hyundai,Kona,2019,52 500 PLN,155 000 km,Diesel,Manualna,SUV,1 598 cm3,115 KM,5,Czerwony
Hyundai,i30,2010,13 500 PLN,214 500 km,Diesel,Manualna,Kombi,1 582 cm3,90 KM,5,Beżowy
Hyundai,i20,2013,21 900 PLN,165 000 km,Benzyna,Manualna,Auta miejskie,1 248 cm3,85 KM,5,Czarny
Hyundai,Tucson,2021,104 500 PLN,61 050 km,Benzyna,Manualna,SUV,1 598 cm3,150 KM,5,Srebrny
Hyundai,Tucson,2016,64 700 PLN,77 000 km,Diesel,Manualna,SUV,1 995 cm3,136 KM,5,Granatowy
Hyundai,Getz,2007,9 000 PLN,71 000 km,Benzyna,Manualna,Kompakt,1 399 cm3,97 KM,5,Czerwony
Hyundai,Kona,2024,141 470,1 km,Hybryda,Automatyczna,SUV,1 580 cm3,105 KM,5,Niebieski
Hyundai,Kona,2024,125 044,1 km,Benzyna,Automatyczna,SUV,1 598 cm3,198 KM,5,Czarny
Hyundai,i30,2017,42 900 PLN,51 290 km,Benzyna,Manualna,Kombi,1 368 cm3,100 KM,5,Srebrny
Hyundai,i30,2008,14 500 PLN,176 762 km,Benzyna,Manualna,Kombi,1 591 cm3,126 KM,5,Szary
Hyundai,ix35,2012,28 000 PLN,348 000 km,Diesel,Manualna,SUV,1 685 cm3,115 KM,5,Biały
Hyundai,i30,2017,59 000 PLN,107 433 km,Benzyna,Manualna,Kompakt,1 353 cm3,140 KM,5,Srebrny
Hyundai,ix20,2011,21 900 PLN,167 000 km,Diesel,Manualna,Auta miejskie,1 396 cm3,90 KM,5,Niebieski
Hyundai,i40,2012,34 000 PLN,220 000 km,Diesel,Manualna,Kombi,1 685 cm3,115 KM,5,Biały
Hyundai,i20,2010,9 800 PLN,130 000 km,Benzyna,Manualna,Kompakt,1 248 cm3,75 KM,5,Czarny
Hyundai,Tucson,2020,110 000 PLN,58 800 km,Diesel,Automatyczna,SUV,1 598 cm3,136 KM,5,Bordowy
Hyundai,i20,2017,36 800 PLN,108 300 km,Benzyna,Manualna,Auta małe,1 248 cm3,75 KM,5,Niebieski
