Marka,Model,Rok produkcji,Cena,Przebieg,Rodzaj paliwa,Skrzynia biegów,Typ nadwozia,Pojemność skokowa,Moc,Liczba drzwi,Kolor
Jeep,Wrangler,2014,109 800 PLN,117 000 km,Benzyna,Automatyczna,SUV,3 605 cm3,284 KM,5,Czerwony
Jeep,Renegade,2019,63 500 PLN,76 700 km,Benzyna,Manualna,SUV,999 cm3,120 KM,5,Czarny
Jeep,Liberty,2006,23 500 PLN,89 680 km,Benzyna+LPG,Automatyczna,SUV,3 701 cm3,210 KM,5,Czarny
Jeep,Wrangler,2014,94 000 PLN,95 000 km,Benzyna,Automatyczna,SUV,3 605 cm3,284 KM,5,Biały
Jeep,Compass,2019,84 400 PLN,43 000 km,Benzyna,Automatyczna,SUV,1 368 cm3,170 KM,5,Szary
Jeep,Cherokee,2002,15 000 PLN,305 824 km,Diesel,Manualna,SUV,2 776 cm3,163 KM,5,Srebrny
Jeep,Cherokee,2014,55 000 PLN,135 000 km,Benzyna,Automatyczna,SUV,3 239 cm3,272 KM,5,Granatowy
Jeep,Avenger,2023,95 900 PLN,4 100 km,Benzyna,Manualna,Kompakt,1 199 cm3,100 KM,5,Żółty
Jeep,Patriot,2008,9 900 PLN,224 199 km,Diesel,Manualna,SUV,1 968 cm3,140 KM,5,Czerwony
Jeep,Compass,2019,78 500 PLN,101 500 km,Benzyna,Automatyczna,SUV,2 399 cm3,183 KM,5,Czarny
Jeep,Compass,2021,110 000 PLN,48 000 km,Hybryda Plug-in,Automatyczna,SUV,1 332 cm3,130 KM,5,Szary
Jeep,Compass,2008,9 900 PLN,208 000 km,Diesel,Manualna,SUV,1 968 cm3,140 KM,5,Czarny
Jeep,Compass,2018,83 000 PLN,102 000 km,Benzyna,Automatyczna,SUV,1 368 cm3,170 KM,5,Czarny
Jeep,Grand Cherokee,2015,98 900 PLN,138 087 km,Benzyna,Automatyczna,SUV,3 604 cm3,286 KM,5,Czarny
Jeep,Grand Cherokee,2019,150 000 PLN,115 000 km,Diesel,Automatyczna,SUV,2 987 cm3,250 KM,5,Czarny
Jeep,Renegade,2016,44 900 PLN,191 000 km,Diesel,Automatyczna,SUV,1 956 cm3,140 KM,5,Biały
Jeep,Compass,2018,72 990 PLN,122 000 km,Diesel,Manualna,SUV,1 598 cm3,120 KM,5,Biały
Jeep,Grand Cherokee,2020,124 000 PLN,81 000 km,Benzyna,Automatyczna,SUV,3 604 cm3,286 KM,5,Szary
Jeep,Grand Cherokee,2006,28 000 PLN,375 000 km,Diesel,Automatyczna,SUV,2 987 cm3,218 KM,5,Szary
