Marka,Model,Rok produkcji,Cena,Przebieg,Rodzaj paliwa,Skrzynia biegów,Typ nadwozia,Pojemność skokowa,Moc,Liczba drzwi,Kolor
Kia,Carens,2008,12 000 PLN,148 000 km,Benzyna,Manualna,Minivan,1 998 cm3,145 KM,5,Szary
Kia,Rio,2006,6 750 PLN,236 000 km,Benzyna,Manualna,Auta miejskie,1 399 cm3,97 KM,5,Inny kolor
Kia,Pro_cee'd,2023,148 900 PLN,4 900 km,Benzyna,Automatyczna,Kombi,1 591 cm3,204 KM,5,Szary
Kia,Sportage,2020,95 000 PLN,28 200 km,Benzyna,Manualna,SUV,1 591 cm3,177 KM,5,Szary
Kia,XCeed,2023,109 999 PLN,19 000 km,Benzyna,Automatyczna,SUV,1 482 cm3,160 KM,5,Zielony
Kia,Sportage,2023,177 300 PLN,7 766 km,Benzyna,Automatyczna,SUV,1 598 cm3,180 KM,5,Szary
Kia,Sportage,2024,164 500 PLN,5 km,Hybryda,Automatyczna,SUV,1 598 cm3,230 KM,5,Niebieski
Kia,Optima,2017,66 900 PLN,172 000 km,Diesel,Automatyczna,Kombi,1 685 cm3,141 KM,5,Srebrny
Kia,Ceed,2013,33 000 PLN,139 922 km,Benzyna,Manualna,Kompakt,1 396 cm3,100 KM,5,Srebrny
Kia,Sportage,2015,47 900 PLN,189 000 km,Diesel,Manualna,SUV,1 685 cm3,115 KM,5,Inny kolor
Kia,Pro_cee'd,2014,31 500 PLN,276 400 km,Diesel,Manualna,Kompakt,1 396 cm3,90 KM,3,Biały
Kia,Sportage,2018,76 500 PLN,63 400 km,Benzyna,Manualna,SUV,1 591 cm3,177 KM,5,Srebrny
Kia,Sorento,2005,15 800 PLN,182 800 km,Benzyna,Manualna,SUV,2 351 cm3,139 KM,5,Srebrny
Kia,Sorento,2017,99 800 PLN,146 856 km,Diesel,Automatyczna,SUV,1 995 cm3,185 KM,5,Czarny
Kia,Pro_cee'd,2024,129 900 PLN,5 km,Benzyna,Manualna,Kombi,1 482 cm3,160 KM,5,Niebieski
Kia,Picanto,2024,79 516 PLN,1 km,Benzyna,Manualna,Auta miejskie,1 197 cm3,79 KM,5,Zielony
Kia,Sportage,2012,35 500 PLN,198 000 km,Diesel,Manualna,SUV,1 685 cm3,115 KM,5,Biały
Kia,Sportage,2016,69 900 PLN,189 111 km,Benzyna,Manualna,SUV,1 591 cm3,177 KM,5,Złoty
Kia,Sportage,2023,118 900 PLN,21 500 km,Benzyna,Manualna,SUV,1 598 cm3,150 KM,5,Niebieski
Kia,Sorento,2019,116 900 PLN,110 000 km,Diesel,Automatyczna,SUV,1 995 cm3,185 KM,5,Szary
Kia,Picanto,2008,10 500 PLN,214 000 km,Benzyna+LPG,Manualna,Auta małe,1 086 cm3,65 KM,5,Pomarańczowy
Kia,XCeed,2024,114 900 PLN,10 km,Benzyna,Automatyczna,SUV,1 482 cm3,140 KM,5,Szary
Kia,Venga,2018,49 500 PLN,58 000 km,Benzyna,Automatyczna,SUV,1 591 cm3,125 KM,5,Biały
Kia,Optima,2015,58 900 PLN,125 000 km,Diesel,Manualna,Sedan,1 685 cm3,141 KM,5,Srebrny
Kia,Venga,2016,45 000 PLN,29 299 km,Benzyna,Automatyczna,Auta małe,1 591 cm3,125 KM,5,Szary
Kia,Carens,2013,30 700 PLN,234 000 km,Diesel,Manualna,Minivan,1 685 cm3,136 KM,5,Złoty
Kia,Venga,2019,49 900 PLN,9 700 km,Benzyna,Manualna,Auta miejskie,1 591 cm3,124 KM,5,Szary
Kia,Ceed,2018,36 000 PLN,159 500 km,Diesel,Manualna,Kombi,1 396 cm3,90 KM,5,Srebrny
Kia,Sportage,2019,85 900 PLN,82 132 km,Benzyna,Automatyczna,SUV,1 591 cm3,177 KM,5,Bordowy
Kia,Pro_cee'd,2023,152 000 PLN,12 250 km,Benzyna,Automatyczna,Kombi,1 591 cm3,204 KM,5,Srebrny
Kia,Sportage,2019,77 000 PLN,16 000 km,Benzyna,Manualna,SUV,1 591 cm3,132 KM,5,Srebrny
Kia,Sportage,2012,36 900 PLN,200 000 km,Diesel,Manualna,SUV,1 685 cm3,115 KM,5,Biały
Kia,Sportage,2012,36 900 PLN,200 000 km,Diesel,Manualna,SUV,1 685 cm3,115 KM,5,Biały
Kia,Sportage,2019,76 900 PLN,69 999 km,Benzyna,Manualna,SUV,1 591 cm3,132 KM,5,Szary
Kia,Stonic,2021,67 900 PLN,47 800 km,Benzyna,Manualna,SUV,998 cm3,100 KM,5,Biały
Kia,Sportage,2015,55 900 PLN,148 000 km,Diesel,Manualna,SUV,1 995 cm3,136 KM,5,Biały
Kia,Sportage,2022,95 000 PLN,54 000 km,Benzyna,Manualna,SUV,1 598 cm3,150 KM,5,Zielony
Kia,Pro_cee'd,2023,106 001,18 687 km,Benzyna,Manualna,Kompakt,1 482 cm3,160 KM,5,Biały
Kia,Ceed,2021,48 600 PLN,147 000 km,Diesel,Manualna,Kombi,1 598 cm3,136 KM,5,Srebrny
Kia,Niro,2024,149 500 PLN,1 km,Hybryda,Automatyczna,Kompakt,1 580 cm3,105 KM,5,Czerwony
Kia,Sorento,2017,76 000 PLN,249 326 km,Diesel,Automatyczna,SUV,2 199 cm3,200 KM,5,Czarny
Kia,Sportage,2018,89 900 PLN,86 365 km,Benzyna,Automatyczna,SUV,1 591 cm3,177 KM,5,Szary
Kia,Sportage,2015,54 900 PLN,131 000 km,Benzyna,Manualna,SUV,1 591 cm3,135 KM,5,Czarny
Kia,Optima,2012,39 900 PLN,203 000 km,Diesel,Automatyczna,Sedan,1 685 cm3,136 KM,4,Szary
Kia,Sportage,2010,28 500 PLN,207 000 km,Benzyna+LPG,Manualna,SUV,1 975 cm3,142 KM,5,Czarny
Kia,Sorento,2017,88 600 PLN,72 000 km,Benzyna,Automatyczna,SUV,2 359 cm3,188 KM,5,Bordowy
Kia,Sportage,2008,19 400 PLN,266 200 km,Diesel,Manualna,SUV,1 991 cm3,140 KM,5,Czarny
Kia,EV6,2021,109 999,75 000 km,Elektryczny,Automatyczna,Kompakt,,170 KM,5,Zielony
Kia,Sportage,2014,56 700 PLN,110 000 km,Benzyna,Automatyczna,SUV,1 998 cm3,166 KM,5,Beżowy
Kia,Sportage,2024,171 800 PLN,10 km,Hybryda,Automatyczna,SUV,1 598 cm3,180 KM,5,Biały
Kia,Sportage,2014,42 000 PLN,238 000 km,Diesel,Manualna,SUV,1 685 cm3,115 KM,5,Srebrny
Kia,Ceed,2012,26 600 PLN,114 000 km,Benzyna,Manualna,Kombi,1 396 cm3,90 KM,5,Szary
Kia,Sportage,2010,35 900 PLN,330 000 km,Benzyna,Manualna,SUV,1 591 cm3,135 KM,5,Biały
Kia,Sportage,2012,47 000 PLN,128 000 km,Benzyna,Manualna,SUV,1 591 cm3,135 KM,5,Inny kolor
Kia,Sportage,2006,19 800 PLN,185 270 km,Diesel,Manualna,SUV,1 991 cm3,140 KM,5,Szary
Kia,Pro_cee'd,2024,140 400 PLN,10 km,Benzyna,Manualna,Kompakt,1 482 cm3,140 KM,5,Niebieski
