Marka,Model,Rok produkcji,Cena,Przebieg,Rodzaj paliwa,Skrzynia biegów,Typ nadwozia,Pojemność skokowa,Moc,Liczba drzwi,Kolor
Land,Rover Range Rover Evoque,2019,124 000 PLN,53 700 km,Diesel,Automatyczna,SUV,1 999 cm3,180 KM,5,Biały
Land,Rover Freelander,2001,16 900 PLN,170 000 km,Benzyna,Automatyczna,SUV,2 497 cm3,177 KM,5,Czarny
Land,Rover Range Rover Sport,2006,29 000 PLN,285 000 km,Diesel,Automatyczna,SUV,2 720 cm3,190 KM,5,Inny kolor
Land,Rover Range Rover Sport,2023,465 000 PLN,17 095 km,Diesel,Automatyczna,SUV,2 997 cm3,300 KM,5,Czarny
Land,Rover Discovery Sport,2017,46 900 PLN,144 566 km,Diesel,Automatyczna,SUV,1 999 cm3,150 KM,5,Szary
Land,Rover Range Rover Evoque,2016,74 500 PLN,100 000 km,Diesel,Manualna,SUV,1 999 cm3,150 KM,5,Biały
Land,Rover Discovery Sport,2019,142 000 PLN,82 000 km,Benzyna,Automatyczna,SUV,1 997 cm3,240 KM,5,Czarny
Land,Rover Discovery Sport,2017,93 900 PLN,91 654 km,Diesel,Automatyczna,SUV,1 999 cm3,180 KM,5,Biały
Land,Rover Discovery Sport,2018,89 500 PLN,65 500 km,Diesel,Automatyczna,Kombi,1 999 cm3,150 KM,5,Czarny
Land,Rover Discovery Sport,2015,66 000 PLN,122 000 km,Diesel,Automatyczna,SUV,1 999 cm3,150 KM,5,Czarny
Land,Rover Range Rover,2014,137 000 PLN,152 953 km,Benzyna,Automatyczna,SUV,2 995 cm3,340 KM,5,Biały
Land,Rover Range Rover,2013,129 900 PLN,260 587 km,Diesel,Automatyczna,SUV,4 367 cm3,340 KM,5,Czarny
Land,Rover Discovery,2006,22 000 PLN,322 000 km,Diesel,Automatyczna,SUV,2 720 cm3,190 KM,5,Czarny
Land,Rover Range Rover Sport,2013,59 500 PLN,221 000 km,Benzyna,Automatyczna,SUV,4 999 cm3,510 KM,5,Czarny
Land,Rover Range Rover Evoque,2018,111 500 PLN,133 100 km,Diesel,Automatyczna,SUV,1 999 cm3,180 KM,5,Biały
Land,Rover Range Rover Sport,2018,149 000 PLN,133 638 km,Hybryda Plug-in,Automatyczna,SUV,1 997 cm3,300 KM,5,Srebrny
Land,Rover Range Rover Evoque,2017,79 900 PLN,140 000 km,Diesel,Automatyczna,SUV,1 999 cm3,180 KM,5,Czarny
Land,Rover Range Rover Evoque,2020,137 990 PLN,51 000 km,Diesel,Automatyczna,SUV,1 999 cm3,149 KM,5,Czarny
Land,Rover Discovery,2018,139 000 PLN,116 000 km,Diesel,Automatyczna,SUV,1 999 cm3,240 KM,5,Czarny
Land,Rover Range Rover Velar,2020,215 990 PLN,77 000 km,Diesel,Automatyczna,SUV,1 998 cm3,204 KM,5,Czarny
Land,Rover Range Rover Sport,2022,339 000 PLN,30 298 km,Diesel,Automatyczna,SUV,2 997 cm3,249 KM,5,Brązowy
Land,Rover Discovery,2019,176 900 PLN,50 000 km,Diesel,Automatyczna,SUV,1 999 cm3,240 KM,5,Czarny
Land,Rover Range Rover Evoque,2017,99 900 PLN,91 255 km,Diesel,Automatyczna,SUV,1 999 cm3,180 KM,5,Szary
Land,Rover Discovery,2017,144 900 PLN,153 520 km,Diesel,Automatyczna,SUV,2 993 cm3,258 KM,5,Czarny
Land,Rover Defender,2022,369 000 PLN,54 000 km,Diesel,Automatyczna,SUV,2 996 cm3,300 KM,5,Brązowy
Land,Rover Range Rover Velar,2021,226 000 PLN,63 000 km,Benzyna,Automatyczna,SUV,1 997 cm3,250 KM,5,Szary
Land,Rover Freelander,2000,10 999 PLN,175 250 km,Benzyna,Manualna,SUV,1 796 cm3,120 KM,3,Szary
Land,Rover Range Rover Evoque,2019,134 900 PLN,48 800 km,Diesel,Automatyczna,SUV,1 999 cm3,150 KM,5,Czerwony
Land,Rover Range Rover Velar,2022,229 900 PLN,50 500 km,Benzyna,Automatyczna,SUV,1 997 cm3,250 KM,5,Czarny
Land,Rover Range Rover Velar,2022,239 900 PLN,31 500 km,Benzyna,Automatyczna,SUV,1 997 cm3,250 KM,5,Szary
