Marka,Model,Rok produkcji,Cena,Przebieg,Rodzaj paliwa,Skrzynia biegów,Typ nadwozia,Pojemność skokowa,Moc,Liczba drzwi,Kolor
Mazda,6,2017,69 900 PLN,160 000 km,Benzyna,Manualna,Sedan,1 998 cm3,165 KM,4,Czarny
Mazda,CX-60,2024,190 000 PLN,15 500 km,Hybryda Plug-in,Automatyczna,SUV,2 488 cm3,191 KM,5,Srebrny
Mazda,3,2010,14 900 PLN,260 000 km,Diesel,Manualna,Kompakt,2 184 cm3,185 KM,5,Niebieski
Mazda,3,2020,85 000 PLN,33 000 km,Benzyna,Automatyczna,Kompakt,2 488 cm3,188 KM,5,Szary
Mazda,6,2011,21 500 PLN,211 322 km,Diesel,Manualna,Kombi,2 184 cm3,179 KM,5,Czarny
Mazda,CX-5,2019,97 000 PLN,70 650 km,Diesel,Automatyczna,SUV,2 191 cm3,150 KM,5,Czerwony
Mazda,CX-30,2021,94 900 PLN,18 001 km,Benzyna,Automatyczna,SUV,1 998 cm3,122 KM,5,Czerwony
Mazda,MX-5,2017,99 999 PLN,16 000 km,Benzyna,Automatyczna,Kabriolet,1 998 cm3,160 KM,2,Szary
Mazda,3,2019,77 000,80 795 km,Benzyna,Manualna,Sedan,1 998 cm3,120 KM,4,Biały
Mazda,2,2011,19 700 PLN,182 000 km,Benzyna+LPG,Automatyczna,Auta małe,1 498 cm3,102 KM,5,Biały
Mazda,6,2015,51 900 PLN,29 805 km,Diesel,Manualna,Sedan,2 191 cm3,150 KM,5,Czerwony
Mazda,CX-60,2023,215 999 PLN,9 393 km,Hybryda Plug-in,Automatyczna,SUV,2 488 cm3,191 KM,5,Granatowy
Mazda,6,2009,19 900 PLN,264 000 km,Diesel,Manualna,Kombi,2 184 cm3,163 KM,5,Szary
Mazda,3,2016,66 700 PLN,93 000 km,Benzyna,Manualna,Kompakt,1 998 cm3,120 KM,5,Czerwony
Mazda,3,2014,38 000 PLN,119 000 km,Benzyna,Manualna,Kompakt,1 998 cm3,150 KM,5,Biały
Mazda,6,2015,59 000 PLN,199 500 km,Benzyna,Manualna,Kombi,1 998 cm3,165 KM,5,Czerwony
