Marka,Model,Rok produkcji,Cena,Przebieg,Rodzaj paliwa,Skrzynia biegów,Typ nadwozia,Pojemność skokowa,Moc,Liczba drzwi,Kolor
Mercedes-Benz,GLC,2024,341 600 PLN,1 km,Benzyna,Automatyczna,SUV,1 991 cm3,258 KM,5,Biały
Mercedes-Benz,GLC,2019,167 900 PLN,96 000 km,Diesel,Automatyczna,SUV,1 950 cm3,194 KM,5,Czarny
Mercedes-Benz,GLA,2018,99 700 PLN,77 500 km,Benzyna,Automatyczna,SUV,1 991 cm3,211 KM,5,Czarny
Mercedes-Benz,GLS,2024,549 000 PLN,1 km,Diesel,Automatyczna,SUV,2 925 cm3,330 KM,5,Czarny
Mercedes-Benz,GLA,2021,149 000 PLN,64 130 km,Benzyna,Automatyczna,Auta miejskie,1 991 cm3,224 KM,5,Srebrny
Mercedes-Benz,Klasa C,2015,54 600 PLN,269 000 km,Diesel,Automatyczna,Kombi,1 598 cm3,136 KM,5,Srebrny
Mercedes-Benz,Klasa E,2021,174 900 PLN,123 000 km,Hybryda,Automatyczna,Kombi,1 950 cm3,194 KM,5,Czarny
Mercedes-Benz,CLA,2020,129 900 PLN,53 244 km,Benzyna,Automatyczna,Kombi,1 332 cm3,163 KM,5,Szary
Mercedes-Benz,Klasa E,2015,79 000 PLN,126 000 km,Diesel,Automatyczna,Sedan,2 143 cm3,170 KM,4,Czarny
Mercedes-Benz,Klasa E,2019,139 900 PLN,38 193 km,Diesel,Automatyczna,Sedan,1 598 cm3,160 KM,4,Czarny
Mercedes-Benz,Klasa C,2009,149 999 PLN,143 500 km,Benzyna,Automatyczna,Sedan,6 208 cm3,457 KM,4,Czarny
Mercedes-Benz,Klasa E,2008,29 990 PLN,358 000 km,Diesel,Automatyczna,Sedan,2 987 cm3,224 KM,5,Czarny
Mercedes-Benz,Klasa E,2003,27 900 PLN,174 000 km,Benzyna,Automatyczna,Sedan,1 796 cm3,163 KM,5,Srebrny
Mercedes-Benz,Klasa B,2019,115 000 PLN,47 118 km,Diesel,Automatyczna,Kompakt,1 950 cm3,149 KM,5,Biały
Mercedes-Benz,Klasa A,2017,162 360 PLN,92 900 km,Benzyna,Automatyczna,Kompakt,1 991 cm3,381 KM,5,Czarny
