Marka,Model,Rok produkcji,Cena,Przebieg,Rodzaj paliwa,Skrzynia biegów,Typ nadwozia,Pojemność skokowa,Moc,Liczba drzwi,Kolor
Mitsubishi,ASX,2017,58 800 PLN,162 448 km,Diesel,Manualna,SUV,1 560 cm3,114 KM,5,Szary
Mitsubishi,Outlander,2012,47 500 PLN,178 000 km,Benzyna+LPG,Automatyczna,SUV,1 998 cm3,150 KM,5,Pomarańczowy
Mitsubishi,ASX,2010,25 500 PLN,222 000 km,Diesel,Manualna,SUV,1 798 cm3,116 KM,5,Srebrny
Mitsubishi,Outlander,2013,39 000 PLN,253 000 km,Benzyna+LPG,Automatyczna,SUV,1 998 cm3,150 KM,5,Czarny
Mitsubishi,Outlander,2012,39 900 PLN,272 400 km,Diesel,Manualna,SUV,2 268 cm3,150 KM,5,Biały
Mitsubishi,ASX,2015,41 900 PLN,220 000 km,Benzyna,Manualna,SUV,1 590 cm3,117 KM,5,Czerwony
Mitsubishi,Lancer,2009,51 000 PLN,208 000 km,Benzyna,Automatyczna,Kompakt,1 998 cm3,240 KM,5,Czarny
Mitsubishi,Outlander,2016,73 900 PLN,199 820 km,Hybryda Plug-in,Automatyczna,SUV,1 998 cm3,121 KM,5,Brązowy
Mitsubishi,Lancer Evolution,2013,84 500 PLN,200 000 km,Benzyna,Manualna,Sedan,1 998 cm3,295 KM,4,Srebrny
Mitsubishi,Lancer,2013,28 900 PLN,120 000 km,Diesel,Manualna,Kompakt,1 798 cm3,150 KM,4,Czarny
Mitsubishi,Outlander,2015,74 900 PLN,186 000 km,Hybryda Plug-in,Automatyczna,SUV,1 998 cm3,121 KM,5,Czarny
Mitsubishi,ASX,2012,39 900 PLN,123 880 km,Benzyna,Manualna,SUV,1 590 cm3,117 KM,5,Czarny
Mitsubishi,Outlander,2015,53 999 PLN,144 684 km,Benzyna,Automatyczna,SUV,1 998 cm3,150 KM,5,Czarny
Mitsubishi,ASX,2014,42 000 PLN,151 200 km,Benzyna+LPG,Manualna,SUV,1 590 cm3,117 KM,5,Brązowy
Mitsubishi,Lancer,2009,18 000 PLN,190 880 km,Benzyna,Manualna,Sedan,1 499 cm3,109 KM,4,Szary
Mitsubishi,ASX,2017,63 900 PLN,95 598 km,Benzyna,Manualna,SUV,1 590 cm3,117 KM,5,Biały
Mitsubishi,Outlander,2018,96 000 PLN,116 000 km,Hybryda Plug-in,Automatyczna,SUV,1 998 cm3,121 KM,5,Brązowy
Mitsubishi,ASX,2019,76 900 PLN,29 000 km,Benzyna,Manualna,SUV,1 590 cm3,117 KM,5,Biały
Mitsubishi,Space Star,2021,62 000 PLN,18 240 km,Benzyna,Automatyczna,Auta miejskie,1 193 cm3,71 KM,5,Srebrny
Mitsubishi,L200,2012,48 000 PLN,295 000 km,Diesel,Manualna,SUV,2 477 cm3,178 KM,4,Czarny
Mitsubishi,Outlander,2019,95 500 PLN,93 500 km,Benzyna,Automatyczna,SUV,1 998 cm3,150 KM,5,Brązowy
Mitsubishi,Outlander,2016,79 990 PLN,199 999 km,Benzyna,Automatyczna,SUV,1 998 cm3,150 KM,5,Biały
Mitsubishi,ASX,2012,29 999 PLN,261 828 km,Diesel,Manualna,SUV,1 798 cm3,150 KM,5,Czarny
Mitsubishi,Lancer,2014,35 000 PLN,106 400 km,Benzyna,Manualna,Sedan,1 590 cm3,117 KM,4,Czerwony
Mitsubishi,Outlander,2014,57 000 PLN,132 874 km,Benzyna,Automatyczna,SUV,1 998 cm3,150 KM,5,Biały
Mitsubishi,Grandis,2009,13 900 PLN,250 000 km,Diesel,Manualna,Minivan,1 968 cm3,140 KM,5,Srebrny
Mitsubishi,ASX,2016,53 900 PLN,89 000 km,Benzyna,Manualna,SUV,1 590 cm3,117 KM,5,Szary
Mitsubishi,ASX,2016,52 000 PLN,182 000 km,Benzyna,Manualna,SUV,1 590 cm3,117 KM,5,Biały
Mitsubishi,ASX,2011,28 900 PLN,295 000 km,Diesel,Manualna,SUV,1 798 cm3,150 KM,5,Szary
Mitsubishi,Outlander,2008,32 000 PLN,277 000 km,Benzyna+LPG,Manualna,SUV,2 360 cm3,170 KM,5,Czarny
Mitsubishi,Colt,2006,7 600 PLN,242 000 km,Benzyna,Manualna,Auta małe,1 332 cm3,95 KM,3,Czarny
Mitsubishi,Outlander,2015,56 900 PLN,261 000 km,Diesel,Manualna,SUV,2 268 cm3,150 KM,5,Szary
Mitsubishi,Colt,2023,81 999 PLN,1 km,Benzyna,Manualna,Auta miejskie,999 cm3,91 KM,5,Czerwony
Mitsubishi,ASX,2023,138 999 PLN,1 km,Hybryda,Automatyczna,SUV,1 332 cm3,158 KM,5,Czerwony
Mitsubishi,Lancer,2007,16 500 PLN,180 000 km,Benzyna,Manualna,Kombi,1 584 cm3,98 KM,5,Szary
Mitsubishi,ASX,2023,101 990 PLN,5 km,Benzyna,Manualna,SUV,1 332 cm3,140 KM,5,Niebieski
Mitsubishi,ASX,2011,26 999 PLN,212 000 km,Diesel,Manualna,SUV,1 798 cm3,150 KM,5,Czarny
Mitsubishi,Colt,2006,6 500 PLN,270 000 km,Diesel,Manualna,Auta małe,1 493 cm3,95 KM,5,Srebrny
Mitsubishi,Lancer,2009,14 900 PLN,203 490 km,Diesel,Manualna,Kompakt,1 968 cm3,140 KM,5,Srebrny
Mitsubishi,ASX,2018,72 000 PLN,38 683 km,Benzyna,Automatyczna,Kompakt,1 590 cm3,117 KM,5,Czerwony
Mitsubishi,Outlander,2015,59 000 PLN,180 691 km,Diesel,Automatyczna,SUV,2 268 cm3,150 KM,5,Biały
Mitsubishi,Eclipse Cross,2019,78 900 PLN,123 391 km,Benzyna,Manualna,SUV,1 499 cm3,163 KM,5,Biały
Mitsubishi,Outlander,2007,21 525 PLN,298 800 km,Diesel,Manualna,SUV,1 968 cm3,140 KM,5,Srebrny
Mitsubishi,Colt,2007,5 350 PLN,203 000 km,Benzyna,Manualna,Auta miejskie,1 332 cm3,95 KM,5,Szary
Mitsubishi,ASX,2015,43 500 PLN,218 000 km,Benzyna,Manualna,SUV,1 590 cm3,117 KM,5,Czarny
Mitsubishi,ASX,2014,49 800 PLN,118 000 km,Benzyna,Manualna,SUV,1 590 cm3,117 KM,5,Biały
Mitsubishi,Outlander,2010,38 900 PLN,112 890 km,Diesel,Manualna,SUV,1 968 cm3,140 KM,5,Czarny
Mitsubishi,ASX,2010,30 900 PLN,178 994 km,Diesel,Manualna,SUV,1 798 cm3,150 KM,5,Szary
Mitsubishi,Outlander,2014,51 000 PLN,180 000 km,Benzyna,Automatyczna,Minivan,1 998 cm3,150 KM,5,Biały
Mitsubishi,Colt,2009,13 500 PLN,173 000 km,Benzyna,Manualna,Kompakt,1 332 cm3,95 KM,5,Szary
Mitsubishi,Eclipse Cross,2018,90 000 PLN,60 000 km,Benzyna,Automatyczna,SUV,1 499 cm3,163 KM,5,Szary
Mitsubishi,Space Star,2013,17 900 PLN,101 200 km,Benzyna,Manualna,Auta miejskie,999 cm3,71 KM,5,Czarny
Mitsubishi,ASX,2015,45 900 PLN,186 000 km,Benzyna,Manualna,SUV,1 590 cm3,117 KM,5,Czarny
Mitsubishi,ASX,2012,29 900 PLN,214 700 km,Benzyna,Manualna,SUV,1 590 cm3,117 KM,5,Czarny
Mitsubishi,Lancer,1999,210 000 PLN,30 000 km,Benzyna,Manualna,Sedan,1 997 cm3,280 KM,4,Biały
Mitsubishi,ASX,2012,23 900 PLN,146 799 km,Diesel,Manualna,SUV,1 798 cm3,150 KM,5,Czarny
