Marka,Model,Rok produkcji,Cena,Przebieg,Rodzaj paliwa,Skrzynia biegów,Typ nadwozia,Pojemność skokowa,Moc,Liczba drzwi,Kolor
Nissan,X-Trail,2003,8 900 PLN,195 300 km,Benzyna,Manualna,SUV,2 488 cm3,165 KM,5,Srebrny
Nissan,X-Trail,2008,30 900 PLN,189 000 km,Diesel,Manualna,SUV,1 995 cm3,150 KM,5,Brązowy
Nissan,Quest,2006,14 000 PLN,72 000 km,Benzyna,Automatyczna,Minivan,3 494 cm3,235 KM,5,Beżowy
Nissan,Qashqai,2019,78 900 PLN,155 900 km,Benzyna,Automatyczna,SUV,1 332 cm3,160 KM,5,Szary
Nissan,Qashqai,2017,62 900 PLN,83 354 km,Benzyna,Manualna,SUV,1 197 cm3,115 KM,5,Szary
Nissan,Juke,2013,32 500 PLN,210 870 km,Benzyna,Manualna,SUV,1 598 cm3,117 KM,5,Bordowy
Nissan,X-Trail,2024,232 150 PLN,5 km,Hybryda,Automatyczna,SUV,1 497 cm3,158 KM,5,Czarny
Nissan,Note,2015,24 000 PLN,137 700 km,Benzyna,Manualna,Kompakt,1 198 cm3,80 KM,5,Szary
Nissan,Qashqai,2020,79 000 PLN,58 141 km,Benzyna,Manualna,SUV,1 332 cm3,158 KM,5,Szary
Nissan,Qashqai,2023,129 900 PLN,33 311 km,Benzyna,Automatyczna,SUV,1 332 cm3,158 KM,5,Srebrny
Nissan,X-Trail,2020,103 000 PLN,89 000 km,Diesel,Automatyczna,SUV,1 749 cm3,150 KM,5,Brązowy
Nissan,Qashqai,2017,62 999 PLN,154 000 km,Diesel,Automatyczna,SUV,1 598 cm3,130 KM,5,Biały
Nissan,Juke,2024,101 976 PLN,1 km,Benzyna,Automatyczna,SUV,999 cm3,114 KM,5,Bordowy
Nissan,Qashqai,2023,135 900 PLN,19 000 km,Hybryda,Automatyczna,SUV,1 497 cm3,158 KM,5,Niebieski
Nissan,Juke,2024,99 876 PLN,5 km,Benzyna,Automatyczna,SUV,999 cm3,114 KM,5,Srebrny
Nissan,Qashqai,2023,135 900 PLN,27 500 km,Hybryda,Automatyczna,SUV,1 497 cm3,158 KM,5,Niebieski
Nissan,Qashqai,2007,21 900 PLN,200 000 km,Diesel,Manualna,SUV,1 995 cm3,150 KM,5,Czarny
Nissan,X-Trail,2016,60 900 PLN,80 000 km,Benzyna,Automatyczna,SUV,1 618 cm3,163 KM,5,Srebrny
Nissan,Qashqai,2009,23 900 PLN,193 200 km,Benzyna,Manualna,SUV,1 598 cm3,115 KM,5,Srebrny
Nissan,Qashqai,2014,35 500 PLN,265 000 km,Diesel,Manualna,SUV,1 598 cm3,130 KM,5,Szary
Nissan,Micra,2010,11 400 PLN,186 234 km,Benzyna,Manualna,Auta miejskie,1 240 cm3,65 KM,3,Czarny
Nissan,Qashqai,2014,43 000 PLN,132 200 km,Benzyna,Manualna,SUV,1 197 cm3,115 KM,5,Biały
Nissan,Qashqai,2016,57 900 PLN,130 000 km,Benzyna,Manualna,SUV,1 197 cm3,115 KM,5,Szary
Nissan,Qashqai,2012,38 000 PLN,149 195 km,Benzyna+LPG,Manualna,SUV,1 598 cm3,115 KM,5,Szary
Nissan,Juke,2015,33 000 PLN,180 000 km,Benzyna,Manualna,SUV,1 197 cm3,115 KM,5,Czarny
Nissan,Micra,2005,7 200 PLN,210 000 km,Benzyna,Manualna,Kompakt,1 240 cm3,65 KM,5,Szary
Nissan,Qashqai,2013,33 500 PLN,260 000 km,Diesel,Manualna,SUV,1 598 cm3,130 KM,5,Czarny
Nissan,Qashqai,2009,32 800 PLN,168 800 km,Benzyna+LPG,Manualna,Kompakt,1 997 cm3,140 KM,5,Biały
Nissan,Qashqai,2019,71 500 PLN,95 995 km,Benzyna,Manualna,SUV,1 332 cm3,140 KM,5,Szary
Nissan,Qashqai,2014,44 900 PLN,188 000 km,Benzyna,Manualna,SUV,1 197 cm3,115 KM,5,Czarny
Nissan,Juke,2022,93 000 PLN,12 400 km,Benzyna,Manualna,SUV,999 cm3,114 KM,5,Srebrny
Nissan,X-Trail,2024,204 400 PLN,1 km,Hybryda,Automatyczna,SUV,1 497 cm3,158 KM,5,Czarny
Nissan,X-Trail,2024,204 400 PLN,1 km,Hybryda,Automatyczna,SUV,1 497 cm3,158 KM,5,Czarny
Nissan,Qashqai,2023,126 511 PLN,1 km,Hybryda,Automatyczna,SUV,1 332 cm3,158 KM,5,Niebieski
Nissan,Qashqai,2023,124 896 PLN,1 km,Benzyna,Automatyczna,SUV,1 332 cm3,158 KM,5,Czarny
Nissan,Juke,2020,84 900 PLN,24 800 km,Benzyna,Automatyczna,SUV,999 cm3,117 KM,5,Niebieski
Nissan,Juke,2013,30 000 PLN,129 000 km,Benzyna,Manualna,Auta miejskie,1 598 cm3,112 KM,5,Czarny
