Marka,Model,Rok produkcji,Cena,Przebieg,Rodzaj paliwa,Skrzynia biegów,Typ nadwozia,Pojemność skokowa,Moc,Liczba drzwi,Kolor
Opel,Corsa,2015,15 750 PLN,318 000 km,Diesel,Manualna,Kompakt,1 248 cm3,75 KM,5,Biały
Opel,Adam,2017,38 900 PLN,138 734 km,Benzyna,Manualna,Auta miejskie,1 364 cm3,150 KM,3,Biały
Opel,Vivaro,2017,69 900 PLN,185 000 km,Diesel,Manualna,Minivan,1 598 cm3,145 KM,4,Czarny
Opel,Insignia,2009,24 000 PLN,195 000 km,Diesel,Automatyczna,Kombi,1 956 cm3,160 KM,5,Czarny
Opel,Astra,2013,28 999 PLN,186 000 km,Benzyna,Manualna,Auta małe,1 364 cm3,120 KM,5,Czarny
Opel,Insignia,2013,17 500 PLN,420 000 km,Diesel,Manualna,Sedan,1 956 cm3,160 KM,5,Czarny
Opel,Insignia,2015,32 900 PLN,226 000 km,Diesel,Manualna,Kombi,1 956 cm3,140 KM,5,Biały
Opel,Insignia,2009,17 900 PLN,474 400 km,Benzyna,Manualna,Sedan,1 598 cm3,180 KM,5,Czarny
Opel,Vivaro,2015,39 900 PLN,860 200 km,Diesel,Manualna,Minivan,1 598 cm3,120 KM,5,Czarny
Opel,Zafira,2009,15 900 PLN,253 200 km,Benzyna,Manualna,Minivan,1 598 cm3,115 KM,5,Czarny
Opel,Corsa,2010,12 999 PLN,189 000 km,Benzyna,Manualna,Auta miejskie,1 229 cm3,80 KM,5,Czarny
Opel,Vectra,2002,5 500 PLN,224 000 km,Benzyna,Manualna,Sedan,1 796 cm3,122 KM,5,Beżowy
Opel,Mokka,2022,81 000 PLN,9 700 km,Benzyna,Manualna,SUV,1 199 cm3,100 KM,5,Srebrny
Opel,Corsa,2010,8 500 PLN,250 000 km,Diesel,Manualna,Auta małe,1 248 cm3,95 KM,3,Biały
Opel,Astra,2015,27 900 PLN,188 000 km,Diesel,Manualna,Auta miejskie,1 598 cm3,110 KM,5,Srebrny
Opel,Astra,2016,35 900 PLN,152 302 km,Diesel,Manualna,Kombi,1 598 cm3,160 KM,5,Biały
Opel,Corsa,2014,19 900 PLN,152 000 km,Benzyna,Manualna,Auta małe,1 398 cm3,100 KM,5,Srebrny
Opel,Astra,1999,2 650 PLN,286 720 km,Benzyna+LPG,Manualna,Kompakt,1 598 cm3,75 KM,3,Srebrny
Opel,Corsa,2015,26 900 PLN,76 379 km,Benzyna,Manualna,Auta miejskie,1 229 cm3,80 KM,3,Srebrny
Opel,Corsa,2009,8 900 PLN,187 000 km,Benzyna,Manualna,Kompakt,998 cm3,60 KM,3,Granatowy
Opel,Mokka,2016,54 999 PLN,148 882 km,Diesel,Automatyczna,SUV,1 598 cm3,136 KM,5,Biały
Opel,Astra,2013,18 900 PLN,229 000 km,Diesel,Manualna,Kombi,1 248 cm3,95 KM,5,Granatowy
Opel,Mokka,2019,54 000 PLN,215 427 km,Benzyna+LPG,Manualna,SUV,1 364 cm3,120 KM,5,Pomarańczowy
