Marka,Model,Rok produkcji,Cena,Przebieg,Rodzaj paliwa,Skrzynia biegów,Typ nadwozia,Pojemność skokowa,Moc,Liczba drzwi,Kolor
Peugeot,406,1998,17 900 PLN,92 000 km,Benzyna,Automatyczna,Coupe,2 946 cm3,190 KM,4,Zielony
Peugeot,308,2012,15 000 PLN,77 000 km,Benzyna,Manualna,Kompakt,1 397 cm3,98 KM,5,Czarny
Peugeot,208,2014,29 900 PLN,62 444 km,Benzyna,Manualna,Auta małe,1 199 cm3,82 KM,5,Szary
Peugeot,3008,2012,27 900 PLN,182 000 km,Benzyna,Manualna,SUV,1 598 cm3,156 KM,5,Szary
Peugeot,Traveller,2024,210 102 PLN,1 km,Diesel,Automatyczna,Kombi,1 997 cm3,177 KM,4,Szary
Peugeot,508,2013,25 950 PLN,201 500 km,Benzyna,Automatyczna,Kombi,1 598 cm3,156 KM,5,Czarny
Peugeot,308,2017,37 500 PLN,183 000 km,Diesel,Manualna,Coupe,1 560 cm3,120 KM,5,Biały
Peugeot,Rifter,2024,156 900 PLN,1 km,Diesel,Automatyczna,Minivan,1 499 cm3,130 KM,5,Czarny
Peugeot,208,2020,67 000 PLN,56 000 km,Benzyna,Automatyczna,Auta małe,1 199 cm3,102 KM,5,Czerwony
Peugeot,2008,2021,69 900 PLN,90 000 km,Benzyna,Manualna,SUV,1 199 cm3,102 KM,5,Czarny
Peugeot,508,2015,52 900 PLN,179 000 km,Diesel,Automatyczna,Kombi,1 997 cm3,180 KM,5,Szary
Peugeot,208,2015,26 999 PLN,178 800 km,Benzyna,Manualna,Auta miejskie,1 199 cm3,82 KM,5,Inny kolor
Peugeot,3008,2014,42 900 PLN,231 488 km,Diesel,Manualna,SUV,1 997 cm3,150 KM,5,Inny kolor
Peugeot,208,2016,27 800 PLN,52 400 km,Benzyna,Manualna,Auta małe,1 199 cm3,82 KM,5,Czarny
Peugeot,308,2015,50 500 PLN,156 000 km,Benzyna,Manualna,Kompakt,1 598 cm3,205 KM,5,Czarny
Peugeot,208,2014,19 900 PLN,156 000 km,Diesel,Manualna,Auta małe,1 398 cm3,68 KM,5,Czarny
Peugeot,508,2013,20 500 PLN,230 000 km,Diesel,Automatyczna,Kombi,1 560 cm3,114 KM,5,Złoty
