Marka,Model,Rok produkcji,Cena,Przebieg,Rodzaj paliwa,Skrzynia biegów,Typ nadwozia,Pojemność skokowa,Moc,Liczba drzwi,Kolor
Renault,Talisman,2017,55 900 PLN,153 000 km,Diesel,Automatyczna,Sedan,1 598 cm3,160 KM,5,Srebrny
Renault,Trafic,2019,43 500 PLN,173 500 km,Diesel,Manualna,SUV,1 598 cm3,125 KM,4,Biały
Renault,Megane,2011,21 600 PLN,118 300 km,Diesel,Manualna,Kombi,1 870 cm3,130 KM,5,Brązowy
Renault,Trafic,2013,45 000 PLN,176 800 km,Diesel,Automatyczna,Minivan,1 995 cm3,114 KM,4,Czarny
Renault,Koleos,2008,18 900 PLN,224 000 km,Benzyna,Manualna,SUV,2 488 cm3,170 KM,5,Szary
Renault,Kangoo,2024,118 900 PLN,10 km,Diesel,Manualna,Minivan,1 461 cm3,115 KM,5,Brązowy
Renault,Kadjar,2017,59 400 PLN,131 200 km,Diesel,Manualna,SUV,1 598 cm3,130 KM,5,Czarny
Renault,Grand Espace,2005,11 900 PLN,360 188 km,Diesel,Automatyczna,Minivan,2 188 cm3,150 KM,5,Beżowy
Renault,Trafic,2024,180 808,1 km,Diesel,Manualna,Kombi,1 997 cm3,150 KM,4,Szary
Renault,Espace,2009,12 300 PLN,278 000 km,Benzyna+LPG,Manualna,Minivan,1 998 cm3,136 KM,5,Czarny
Renault,Megane,2015,39 000 PLN,139 900 km,Benzyna,Automatyczna,Kombi,1 197 cm3,130 KM,5,Biały
Renault,Kangoo,2024,132 717 PLN,5 km,Benzyna,Manualna,Kombi,1 333 cm3,130 KM,5,Srebrny
Renault,Clio,2018,32 000 PLN,162 800 km,Benzyna,Manualna,Kombi,1 149 cm3,73 KM,5,Biały
Renault,Megane,2016,46 500 PLN,144 450 km,Diesel,Automatyczna,Kompakt,1 461 cm3,110 KM,4,Szary
Renault,Twingo,2020,29 500 PLN,24 350 km,Benzyna,Manualna,Auta małe,998 cm3,73 KM,5,Biały
Renault,Clio,2015,37 777 PLN,89 563 km,Diesel,Automatyczna,Auta małe,1 461 cm3,90 KM,5,Srebrny
Renault,Megane,2017,47 900 PLN,115 000 km,Benzyna,Manualna,Sedan,1 598 cm3,115 KM,4,Biały
Renault,Kangoo,2024,135 177 PLN,5 km,Benzyna,Manualna,Kombi,1 333 cm3,130 KM,5,Niebieski
Renault,Trafic,2003,19 600 PLN,276 258 km,Diesel,Manualna,Minivan,1 870 cm3,100 KM,4,Biały
Renault,Zoe,2021,79 900 PLN,33 000 km,Elektryczny,Automatyczna,Kompakt,,135 KM,5,Biały
Renault,Scenic,2017,59 900 PLN,195 376 km,Diesel,Manualna,Kombi,1 598 cm3,130 KM,5,Srebrny
Renault,Talisman,2018,62 800 PLN,174 500 km,Benzyna,Automatyczna,Kombi,1 618 cm3,150 KM,5,Czarny
Renault,Megane,2016,46 900 PLN,112 000 km,Benzyna,Manualna,Kombi,1 197 cm3,100 KM,5,Niebieski
Renault,Scenic,2010,26 400 PLN,184 000 km,Benzyna,Manualna,SUV,1 598 cm3,110 KM,5,Szary
Renault,Clio,2023,84 900 PLN,316 km,Benzyna+LPG,Manualna,Kompakt,999 cm3,90 KM,5,Czerwony
Renault,Kadjar,2016,54 200 PLN,178 000 km,Diesel,Manualna,SUV,1 598 cm3,130 KM,5,Biały
Renault,Talisman,2016,67 900 PLN,96 000 km,Diesel,Automatyczna,Sedan,1 598 cm3,160 KM,5,Czarny
Renault,Grand Scenic,2014,30 900 PLN,161 000 km,Diesel,Manualna,Minivan,1 598 cm3,130 KM,5,Czarny
Renault,Megane,2011,15 500 PLN,165 878 km,Benzyna,Manualna,Kompakt,1 598 cm3,100 KM,5,Granatowy
Renault,Laguna,2008,14 900 PLN,256 558 km,Benzyna,Manualna,Kombi,1 997 cm3,140 KM,5,Czarny
Renault,Koleos,2019,86 800 PLN,113 856 km,Diesel,Automatyczna,SUV,1 995 cm3,177 KM,5,Biały
Renault,Grand Scenic,2017,29 999 PLN,127 400 km,Diesel,Manualna,Minivan,1 461 cm3,110 KM,5,Brązowy
Renault,Grand Scenic,2017,29 999 PLN,127 400 km,Diesel,Manualna,Minivan,1 461 cm3,110 KM,5,Brązowy
Renault,Kadjar,2018,69 900 PLN,75 000 km,Benzyna,Manualna,SUV,1 197 cm3,130 KM,5,Czarny
Renault,Megane,2018,37 000 PLN,201 800 km,Diesel,Manualna,Kombi,1 461 cm3,115 KM,5,Granatowy
Renault,Megane,2014,33 900 PLN,134 846 km,Benzyna,Manualna,Kombi,1 598 cm3,110 KM,5,Inny kolor
Renault,Koleos,2008,16 000 PLN,277 000 km,Diesel,Manualna,SUV,1 995 cm3,150 KM,5,Srebrny
Renault,Megane,2020,73 900 PLN,21 456 km,Benzyna,Manualna,Sedan,1 332 cm3,140 KM,4,Czarny
Renault,Arkana,2024,132 450 PLN,1 km,Benzyna,Automatyczna,SUV,1 332 cm3,140 KM,5,Biały
Renault,Clio,2014,24 900 PLN,156 000 km,Diesel,Manualna,Auta małe,1 461 cm3,90 KM,5,Inny kolor
Renault,Megane,2014,38 900 PLN,73 657 km,Benzyna,Manualna,Kompakt,1 598 cm3,110 KM,5,Czarny
Renault,Clio,2020,36 500 PLN,96 816 km,Benzyna,Manualna,Kombi,898 cm3,90 KM,5,Biały
Renault,Clio,2020,41 800 PLN,142 000 km,Benzyna+LPG,Manualna,Auta miejskie,999 cm3,100 KM,5,Srebrny
Renault,Kangoo,2004,5 500 PLN,252 000 km,Benzyna+LPG,Manualna,Minivan,1 598 cm3,95 KM,5,Zielony
Renault,Twingo,2021,33 600 PLN,33 930 km,Benzyna,Manualna,Auta małe,998 cm3,65 KM,5,Biały
Renault,Clio,2018,38 000 PLN,36 455 km,Benzyna,Manualna,Auta małe,1 149 cm3,73 KM,5,Biały
Renault,Clio,2016,26 200 PLN,112 700 km,Benzyna,Manualna,Auta miejskie,898 cm3,90 KM,5,Szary
Renault,Scenic,2013,32 900 PLN,99 999 km,Benzyna,Manualna,Auta miejskie,1 197 cm3,115 KM,5,Brązowy
Renault,Scenic,2013,34 900 PLN,152 000 km,Benzyna,Manualna,Minivan,1 598 cm3,110 KM,5,Inny kolor
Renault,Scenic,2009,19 900 PLN,187 523 km,Benzyna,Manualna,Minivan,1 598 cm3,113 KM,5,Czarny
Renault,Kangoo,2009,17 900 PLN,199 900 km,Benzyna+LPG,Automatyczna,Minivan,1 598 cm3,106 KM,5,Czerwony
Renault,Megane,2020,57 500 PLN,105 000 km,Benzyna,Manualna,Sedan,1 332 cm3,140 KM,4,Czarny
