Marka,Model,Rok produkcji,Cena,Przebieg,Rodzaj paliwa,Skrzynia biegów,Typ nadwozia,Pojemność skokowa,Moc,Liczba drzwi,Kolor
Seat,Leon,2004,12 900 PLN,245 000 km,Benzyna,Manualna,Kompakt,1 597 cm3,105 KM,5,Czarny
Seat,Ibiza,2017,42 500 PLN,88 000 km,Benzyna,Manualna,Auta małe,999 cm3,115 KM,5,Biały
Seat,Ibiza,2011,20 900 PLN,146 715 km,Diesel,Manualna,Auta małe,1 598 cm3,90 KM,5,Inny kolor
Seat,Ibiza,2019,26 000 PLN,55 000 km,Benzyna,Manualna,Auta małe,999 cm3,80 KM,5,Szary
Seat,Altea XL,2007,14 999 PLN,160 000 km,Benzyna,Manualna,Minivan,1 595 cm3,102 KM,5,Srebrny
Seat,Leon,2009,8 800 PLN,308 665 km,Diesel,Manualna,Kompakt,1 968 cm3,170 KM,5,Czarny
Seat,Leon,2011,17 999 PLN,183 000 km,Benzyna,Manualna,Kompakt,1 197 cm3,105 KM,5,Biały
Seat,Ibiza,2011,21 300 PLN,176 000 km,Benzyna,Manualna,Auta miejskie,1 390 cm3,86 KM,5,Czarny
Seat,Leon,2014,43 700 PLN,165 000 km,Benzyna,Manualna,Kompakt,1 395 cm3,140 KM,3,Czarny
Seat,Ibiza,2011,29 900 PLN,148 759 km,Benzyna,Automatyczna,Coupe,1 390 cm3,180 KM,3,Czarny
Seat,Ibiza,2016,46 900 PLN,107 626 km,Benzyna,Manualna,Auta miejskie,1 798 cm3,192 KM,3,Szary
Seat,Leon,2017,55 900 PLN,80 000 km,Benzyna,Manualna,Kompakt,1 395 cm3,125 KM,5,Biały
Seat,Ateca,2018,93 500 PLN,73 200 km,Benzyna,Automatyczna,SUV,1 395 cm3,150 KM,5,Biały
Seat,Leon,2017,56 000 PLN,112 705 km,Benzyna,Manualna,Kompakt,1 395 cm3,125 KM,5,Szary
Seat,Leon,2018,55 900 PLN,103 000 km,Benzyna,Manualna,Kompakt,1 395 cm3,125 KM,5,Czarny
Seat,Leon,2006,12 000 PLN,240 000 km,Benzyna,Manualna,Kompakt,1 595 cm3,102 KM,5,Srebrny
Seat,Leon,2017,51 900 PLN,126 200 km,Benzyna,Manualna,Kompakt,1 395 cm3,150 KM,5,Niebieski
Seat,Arona,2019,82 900 PLN,46 000 km,Benzyna,Manualna,SUV,1 498 cm3,150 KM,5,Niebieski
Seat,Alhambra,2012,24 990 PLN,229 800 km,Diesel,Manualna,Minivan,1 968 cm3,140 KM,5,Szary
Seat,Alhambra,2013,47 600 PLN,177 000 km,Diesel,Manualna,Minivan,1 968 cm3,140 KM,5,Czarny
Seat,Ateca,2019,99 000 PLN,34 000 km,Benzyna,Automatyczna,SUV,1 498 cm3,150 KM,5,Inny kolor
Seat,Mii,2014,17 500 PLN,103 000 km,Benzyna,Manualna,Auta małe,999 cm3,75 KM,3,Żółty
Seat,Ibiza,2015,27 700 PLN,195 000 km,Benzyna,Manualna,Kombi,1 197 cm3,105 KM,5,Szary
Seat,Leon,2016,42 900 PLN,151 000 km,Diesel,Manualna,Kompakt,1 598 cm3,110 KM,5,Czarny
Seat,Leon,2006,13 000 PLN,123 362 km,Benzyna,Manualna,Kompakt,1 595 cm3,102 KM,5,Błękitny
Seat,Ibiza,2010,17 700 PLN,152 000 km,Benzyna,Manualna,Kompakt,1 390 cm3,86 KM,5,Czarny
Seat,Altea XL,2012,21 499 PLN,194 000 km,Diesel,Manualna,Minivan,1 598 cm3,105 KM,5,Czarny
Seat,Leon,2008,16 900 PLN,127 400 km,Benzyna,Manualna,Auta miejskie,1 395 cm3,122 KM,5,Szary
Seat,Leon,2015,48 300 PLN,117 000 km,Benzyna,Automatyczna,Kompakt,1 798 cm3,180 KM,5,Biały
Seat,Ateca,2024,145 450 PLN,1 km,Benzyna,Automatyczna,SUV,1 498 cm3,150 KM,5,Szary
Seat,Arona,2024,105 500 PLN,1 km,Benzyna,Automatyczna,Kompakt,999 cm3,115 KM,5,Szary
Seat,Arona,2024,132 319 PLN,1 km,Benzyna,Automatyczna,Kompakt,1 498 cm3,150 KM,5,Biały
Seat,Arona,2024,132 319 PLN,1 km,Benzyna,Automatyczna,Kompakt,1 498 cm3,150 KM,5,Biały
Seat,Leon,2024,119 516 PLN,1 km,Benzyna,Manualna,Kombi,1 498 cm3,115 KM,5,Szary
Seat,Leon,2013,33 500 PLN,85 000 km,Benzyna,Manualna,Kompakt,1 395 cm3,122 KM,5,Szary
Seat,Tarraco,2019,128 000 PLN,52 000 km,Benzyna,Automatyczna,SUV,1 984 cm3,190 KM,5,Biały
Seat,Exeo,2011,26 800 PLN,276 500 km,Diesel,Manualna,Kombi,1 968 cm3,170 KM,5,Biały
Seat,Ibiza,2004,5 900 PLN,170 000 km,Benzyna,Manualna,Sedan,1 390 cm3,75 KM,5,Srebrny
Seat,Altea,2012,21 000 PLN,212 131 km,Diesel,Manualna,Minivan,1 598 cm3,105 KM,5,Biały
Seat,Altea XL,2010,16 000 PLN,266 000 km,Benzyna,Manualna,Minivan,1 984 cm3,200 KM,5,Czarny
Seat,Leon,2017,32 900 PLN,222 000 km,Diesel,Manualna,Kombi,1 598 cm3,90 KM,5,Biały
Seat,Leon,2014,34 500 PLN,141 511 km,Diesel,Manualna,Kombi,1 598 cm3,105 KM,5,Czarny
Seat,Leon,2018,77 900 PLN,93 510 km,Benzyna,Automatyczna,Kombi,1 984 cm3,300 KM,5,Czarny
Seat,Leon,2014,45 000 PLN,227 200 km,Diesel,Manualna,Kombi,1 968 cm3,150 KM,5,Biały
Seat,Arona,2020,79 900 PLN,12 619 km,Benzyna,Automatyczna,Auta małe,999 cm3,115 KM,5,Biały
Seat,Exeo,2009,14 500 PLN,269 555 km,Benzyna+LPG,Manualna,Sedan,1 781 cm3,150 KM,5,Czarny
Seat,Leon,2019,46 500 PLN,49 000 km,Benzyna,Manualna,Kombi,1 498 cm3,131 KM,5,Srebrny
Seat,Ibiza,2023,69 900 PLN,11 000 km,Benzyna,Manualna,Kompakt,999 cm3,95 KM,5,Biały
Seat,Leon,2024,159 900 PLN,1 km,Hybryda Plug-in,Automatyczna,Kombi,1 395 cm3,150 KM,5,Szary
Seat,Ibiza,2024,113 800 PLN,5 km,Benzyna,Automatyczna,Kompakt,999 cm3,110 KM,5,Czarny
Seat,Leon,2023,114 900 PLN,15 000 km,Diesel,Manualna,Kombi,1 968 cm3,115 KM,5,Szary
Seat,Ateca,2024,149 900 PLN,5 km,Benzyna,Automatyczna,SUV,1 498 cm3,150 KM,5,Szary
Seat,Ateca,2024,140 873 PLN,1 km,Benzyna,Automatyczna,SUV,1 498 cm3,150 KM,5,Biały
Seat,Leon,2014,43 900 PLN,198 000 km,Diesel,Manualna,Kombi,1 968 cm3,184 KM,5,Inny kolor
Seat,Ibiza,2010,30 900 PLN,148 000 km,Benzyna,Automatyczna,Kompakt,1 390 cm3,180 KM,3,Biały
Seat,Leon,2021,69 900 PLN,44 446 km,Benzyna,Manualna,Kompakt,1 498 cm3,130 KM,5,Biały
Seat,Ibiza,2009,10 500 PLN,215 000 km,Benzyna,Manualna,Auta małe,1 390 cm3,86 KM,5,Czerwony
Seat,Leon,2014,64 500 PLN,92 272 km,Benzyna,Automatyczna,Kompakt,1 798 cm3,180 KM,5,Biały
Seat,Ateca,2020,104 000 PLN,39 000 km,Benzyna,Manualna,SUV,1 498 cm3,150 KM,5,Granatowy
