Marka,Model,Rok produkcji,Cena,Przebieg,Rodzaj paliwa,Skrzynia biegów,Typ nadwozia,Pojemność skokowa,Moc,Liczba drzwi,Kolor
Skoda,Octavia,2021,84 000 PLN,130 743 km,Benzyna,Manualna,Sedan,1 498 cm3,150 KM,5,Inny kolor
Skoda,Superb,2014,45 900 PLN,229 606 km,Diesel,Manualna,Kombi,1 968 cm3,170 KM,5,Czarny
Skoda,Octavia,2015,45 500 PLN,167 459 km,Benzyna,Manualna,Sedan,1 798 cm3,180 KM,5,Błękitny
Skoda,Octavia,2022,144 000 PLN,32 000 km,Diesel,Automatyczna,Kombi,1 968 cm3,200 KM,5,Zielony
Skoda,Octavia,2015,29 000 PLN,212 000 km,Diesel,Manualna,Sedan,1 598 cm3,105 KM,5,Srebrny
Skoda,Superb,2019,129 900 PLN,141 200 km,Benzyna,Automatyczna,Kombi,1 984 cm3,272 KM,5,Brązowy
Skoda,Superb,2019,84 900 PLN,62 000 km,Benzyna,Automatyczna,Sedan,1 498 cm3,150 KM,5,Brązowy
Skoda,Octavia,2006,7 000 PLN,255 804 km,Diesel,Manualna,Sedan,1 896 cm3,101 KM,5,Szary
Skoda,Superb,2020,93 000 PLN,23 000 km,Benzyna,Manualna,Sedan,1 498 cm3,149 KM,5,Szary
Skoda,Karoq,2023,162 785,9 000 km,Benzyna,Automatyczna,SUV,1 984 cm3,190 KM,5,Szary
Skoda,Scala,2021,70 900 PLN,75 773 km,Benzyna,Manualna,Kompakt,1 498 cm3,149 KM,5,Granatowy
Skoda,Citigo,2017,21 000 PLN,126 000 km,Benzyna,Manualna,Auta małe,999 cm3,60 KM,3,Biały
Skoda,Octavia,2014,39 900 PLN,240 000 km,Diesel,Automatyczna,Kombi,1 598 cm3,105 KM,5,Złoty
Skoda,Kodiaq,2017,89 900 PLN,58 000 km,Benzyna,Manualna,SUV,1 395 cm3,150 KM,5,Biały
Skoda,Octavia,2010,17 200 PLN,318 000 km,Diesel,Manualna,Kombi,1 968 cm3,140 KM,5,Czarny
Skoda,Octavia,2011,23 000 PLN,241 241 km,Benzyna+LPG,Manualna,Kombi,1 595 cm3,102 KM,5,Granatowy
Skoda,Scala,2019,63 000 PLN,34 300 km,Benzyna,Manualna,Kompakt,999 cm3,115 KM,5,Niebieski
Skoda,Superb,2022,89 536,60 000 km,Benzyna,Automatyczna,Kombi,1 984 cm3,280 KM,5,Srebrny
Skoda,Octavia,2018,61 500 PLN,175 336 km,Benzyna,Automatyczna,Sedan,1 984 cm3,190 KM,5,Inny kolor
Skoda,Fabia,2019,36 000 PLN,191 000 km,Benzyna,Manualna,Kombi,999 cm3,110 KM,5,Biały
Skoda,Superb,2015,57 150 PLN,325 044 km,Diesel,Manualna,Sedan,1 968 cm3,190 KM,5,Czarny
Skoda,Fabia,2008,13 500 PLN,191 075 km,Benzyna,Manualna,Auta miejskie,1 390 cm3,86 KM,5,Srebrny
Skoda,Fabia,2011,6 900 PLN,185 000 km,Benzyna,Manualna,Kombi,1 197 cm3,86 KM,5,Biały
Skoda,Octavia,2008,12 500 PLN,310 000 km,Diesel,Manualna,Kombi,1 896 cm3,105 KM,5,Zielony
Skoda,Scala,2019,49 900 PLN,136 000 km,Benzyna,Manualna,Kompakt,999 cm3,115 KM,5,Biały
Skoda,Octavia,2012,18 000 PLN,230 600 km,Diesel,Manualna,Sedan,1 598 cm3,105 KM,5,Beżowy
Skoda,Octavia,2019,83 600 PLN,148 000 km,Diesel,Automatyczna,Sedan,1 968 cm3,184 KM,5,Szary
Skoda,Kodiaq,2021,120 000 PLN,117 000 km,Benzyna,Automatyczna,SUV,1 498 cm3,150 KM,5,Czarny
Skoda,Fabia,2021,54 900 PLN,61 000 km,Benzyna,Manualna,Kombi,999 cm3,95 KM,5,Szary
Skoda,Octavia,2013,29 900 PLN,152 000 km,Benzyna,Manualna,Kombi,1 390 cm3,122 KM,5,Srebrny
Skoda,Kodiaq,2020,119 986,135 000 km,Diesel,Automatyczna,SUV,1 968 cm3,190 KM,5,Niebieski
Skoda,Scala,2020,73 700 PLN,49 933 km,Benzyna,Automatyczna,Kompakt,999 cm3,115 KM,5,Srebrny
Skoda,Octavia,2018,65 500 PLN,107 570 km,Benzyna,Manualna,Sedan,1 498 cm3,150 KM,5,Biały
Skoda,Octavia,2017,46 046 PLN,198 891 km,Diesel,Manualna,Kombi,1 968 cm3,150 KM,5,Biały
Skoda,Fabia,2011,8 500 PLN,314 000 km,Diesel,Manualna,Kombi,1 598 cm3,75 KM,5,Srebrny
Skoda,Scala,2022,90 000 PLN,16 300 km,Benzyna,Automatyczna,Kompakt,999 cm3,110 KM,5,Szary
Skoda,Octavia,2015,34 000 PLN,338 000 km,Diesel,Automatyczna,Kombi,1 968 cm3,184 KM,5,Srebrny
Skoda,Octavia,2010,26 900 PLN,252 000 km,Benzyna,Automatyczna,Kombi,1 984 cm3,200 KM,5,Czarny
Skoda,Octavia,2011,23 900 PLN,319 000 km,Diesel,Automatyczna,Kombi,1 968 cm3,140 KM,5,Niebieski
Skoda,Fabia,2010,26 000 PLN,192 000 km,Benzyna,Automatyczna,Auta miejskie,1 390 cm3,179 KM,5,Żółty
Skoda,Superb,2019,114 900 PLN,93 335 km,Benzyna,Automatyczna,Sedan,1 984 cm3,190 KM,5,Szary
Skoda,Superb,2014,26 900 PLN,241 235 km,Benzyna,Automatyczna,Sedan,1 798 cm3,160 KM,5,Brązowy
Skoda,RAPID,2018,44 900 PLN,107 862 km,Diesel,Manualna,Kompakt,1 598 cm3,115 KM,5,Szary
Skoda,Superb,2020,84 900 PLN,239 000 km,Diesel,Automatyczna,Kombi,1 968 cm3,190 KM,5,Granatowy
Skoda,Octavia,2007,14 800 PLN,218 800 km,Benzyna+LPG,Manualna,Auta miejskie,1 595 cm3,102 KM,5,Czarny
Skoda,Kodiaq,2017,79 999 PLN,248 000 km,Benzyna,Automatyczna,SUV,1 984 cm3,180 KM,5,Czarny
Skoda,Karoq,2018,99 000 PLN,59 000 km,Benzyna,Automatyczna,SUV,1 498 cm3,150 KM,5,Szary
Skoda,Superb,2016,70 000 PLN,202 722 km,Diesel,Automatyczna,Kombi,1 968 cm3,190 KM,5,Niebieski
