Marka,Model,Rok produkcji,Cena,Przebieg,Rodzaj paliwa,Skrzynia biegów,Typ nadwozia,Pojemność skokowa,Moc,Liczba drzwi,Kolor
Suzuki,Baleno,2017,39 000 PLN,52 850 km,Benzyna,Manualna,Kompakt,1 242 cm3,90 KM,5,Biały
Suzuki,Vitara,2024,103 527 PLN,5 km,Hybryda,Manualna,SUV,1 373 cm3,129 KM,5,Biały
Suzuki,Grand Vitara,2002,18 000 PLN,191 739 km,Benzyna,Manualna,SUV,1 590 cm3,94 KM,3,Czarny
Suzuki,Swift,2013,13 900 PLN,134 309 km,Diesel,Manualna,Auta małe,1 248 cm3,75 KM,5,Beżowy
Suzuki,Grand Vitara,2011,32 900 PLN,206 000 km,Diesel,Manualna,SUV,1 870 cm3,129 KM,5,Szary
Suzuki,Splash,2009,10 250 PLN,230 945 km,Benzyna,Manualna,Auta małe,996 cm3,65 KM,5,Czarny
Suzuki,SX4,2008,22 900 PLN,183 000 km,Benzyna,Manualna,Kompakt,1 586 cm3,107 KM,5,Czarny
Suzuki,Grand Vitara,2007,33 999 PLN,231 000 km,Benzyna,Manualna,SUV,1 995 cm3,140 KM,5,Czarny
Suzuki,Grand Vitara,2006,25 900 PLN,256 000 km,Benzyna+LPG,Manualna,SUV,1 995 cm3,140 KM,5,Czarny
Suzuki,Vitara,2018,74 900 PLN,51 000 km,Benzyna,Manualna,SUV,1 373 cm3,140 KM,5,Inny kolor
Suzuki,Vitara,2024,107 900 PLN,5 km,Hybryda,Automatyczna,SUV,1 462 cm3,116 KM,5,Biały
Suzuki,SX4,2021,84 000 PLN,43 000 km,Benzyna,Automatyczna,SUV,1 373 cm3,129 KM,5,Brązowy
Suzuki,Swift,2022,61 200 PLN,25 000 km,Benzyna,Automatyczna,Auta małe,1 197 cm3,83 KM,5,Biały
Suzuki,Vitara,2016,65 900 PLN,135 000 km,Benzyna,Automatyczna,SUV,1 373 cm3,140 KM,5,Czarny
Suzuki,Jimny,2000,22 000 PLN,137 000 km,Benzyna,Manualna,SUV,1 298 cm3,80 KM,3,Zielony
Suzuki,Swift,2020,59 900 PLN,19 100 km,Benzyna,Automatyczna,Auta małe,1 197 cm3,83 KM,5,Czerwony
Suzuki,Swift,2009,12 900 PLN,121 907 km,Benzyna,Manualna,Auta małe,1 328 cm3,92 KM,3,Inny kolor
Suzuki,Samurai,1999,23 000 PLN,21 000 km,Benzyna,Manualna,SUV,1 298 cm3,69 KM,3,Zielony
Suzuki,Samurai,1998,21 900 PLN,8 400 km,Benzyna,Manualna,SUV,1 298 cm3,69 KM,3,Zielony
Suzuki,Swift,2014,33 500 PLN,119 700 km,Benzyna,Manualna,Auta miejskie,1 242 cm3,94 KM,5,Czerwony
Suzuki,SX4 S-Cross,2019,71 700 PLN,72 400 km,Benzyna,Manualna,SUV,998 cm3,111 KM,5,Szary
Suzuki,Vitara,2020,69 000 PLN,39 344 km,Hybryda,Manualna,SUV,1 373 cm3,129 KM,5,Biały
Suzuki,Grand Vitara,2010,30 500 PLN,270 000 km,Diesel,Manualna,SUV,1 870 cm3,129 KM,5,Czarny
Suzuki,Swift,2012,29 900 PLN,177 600 km,Benzyna,Manualna,Auta miejskie,1 568 cm3,136 KM,3,Czerwony
Suzuki,Vitara,2024,106 900 PLN,5 km,Hybryda,Manualna,SUV,1 373 cm3,129 KM,5,Czerwony
Suzuki,SX4,2011,32 900 PLN,127 468 km,Benzyna,Manualna,Auta miejskie,1 586 cm3,120 KM,5,Czarny
Suzuki,Grand Vitara,2007,16 000 PLN,341 800 km,Diesel,Manualna,SUV,1 870 cm3,129 KM,5,Czarny
Suzuki,Swift,2009,13 999 PLN,229 000 km,Diesel,Manualna,Kompakt,1 249 cm3,75 KM,5,Czarny
Suzuki,SX4 S-Cross,2014,29 900 PLN,240 000 km,Diesel,Manualna,Kompakt,1 598 cm3,120 KM,5,Szary
Suzuki,Swift,2012,19 999 PLN,147 000 km,Benzyna,Manualna,Kompakt,1 242 cm3,94 KM,5,Niebieski
Suzuki,Kizashi,2013,32 900 PLN,168 992 km,Benzyna+LPG,Automatyczna,Sedan,2 393 cm3,178 KM,4,Szary
Suzuki,Vitara,2023,112 000 PLN,2 500 km,Hybryda,Automatyczna,SUV,1 462 cm3,102 KM,5,Błękitny
Suzuki,Swift,2013,27 900 PLN,80 000 km,Benzyna,Manualna,Kompakt,1 242 cm3,94 KM,5,Biały
Suzuki,Celerio,2016,30 000 PLN,26 800 km,Benzyna,Manualna,Auta małe,998 cm3,68 KM,5,Czerwony
Suzuki,SX4,2013,47 800 PLN,124 943 km,Benzyna,Automatyczna,SUV,1 586 cm3,120 KM,5,Brązowy
Suzuki,Swace,2024,132 400 PLN,5 km,Hybryda,Automatyczna,Kombi,1 798 cm3,140 KM,5,Biały
Suzuki,Vitara,2024,116 900 PLN,5 km,Hybryda,Manualna,SUV,1 373 cm3,129 KM,5,Czerwony
Suzuki,Vitara,2024,102 500 PLN,5 km,Hybryda,Manualna,SUV,1 373 cm3,129 KM,5,Czarny
Suzuki,Vitara,2024,115 590 PLN,1 km,Benzyna,Automatyczna,SUV,998 cm3,111 KM,5,Szary
Suzuki,SX4 S-Cross,2024,104 900 PLN,1 km,Hybryda,Manualna,SUV,1 373 cm3,129 KM,5,Biały
Suzuki,SX4,2009,14 900 PLN,210 200 km,Benzyna,Manualna,Kompakt,1 586 cm3,107 KM,5,Srebrny
Suzuki,Swift,2009,11 900 PLN,198 000 km,Benzyna+LPG,Manualna,Kompakt,1 328 cm3,92 KM,3,Niebieski
Suzuki,Swift,2018,55 000 PLN,35 500 km,Benzyna,Manualna,Kompakt,1 242 cm3,90 KM,5,Biały
Suzuki,SX4 S-Cross,2021,85 900 PLN,40 571 km,Benzyna,Automatyczna,Kompakt,1 373 cm3,129 KM,5,Szary
Suzuki,Vitara,2024,106 590 PLN,1 km,Hybryda,Manualna,SUV,1 373 cm3,129 KM,5,Niebieski
Suzuki,Swace,2022,89 900 PLN,32 000 km,Hybryda,Automatyczna,Kombi,1 798 cm3,98 KM,5,Biały
Suzuki,SX4,2010,20 900 PLN,169 400 km,Diesel,Manualna,Kompakt,1 956 cm3,135 KM,5,Czarny
Suzuki,Vitara,1999,20 500 PLN,158 000 km,Benzyna,Manualna,SUV,1 995 cm3,132 KM,3,Srebrny
Suzuki,Swift,2024,71 900 PLN,2 km,Hybryda,Manualna,Kompakt,1 197 cm3,83 KM,5,Niebieski
Suzuki,Vitara,2024,116 900 PLN,5 km,Hybryda,Manualna,SUV,1 373 cm3,129 KM,5,Beżowy
Suzuki,Vitara,2023,84 900 PLN,29 917 km,Hybryda,Manualna,SUV,1 373 cm3,129 KM,5,Szary
Suzuki,SX4 S-Cross,2014,38 900 PLN,225 910 km,Benzyna,Automatyczna,SUV,1 586 cm3,120 KM,5,Szary
