Marka,Model,Rok produkcji,Cena,Przebieg,Rodzaj paliwa,Skrzynia biegów,Typ nadwozia,Pojemność skokowa,Moc,Liczba drzwi,Kolor
Toyota,RAV4,2011,36 000 PLN,179 000 km,Diesel,Manualna,SUV,2 231 cm3,150 KM,5,Srebrny
Toyota,RAV4,2018,38 000 PLN,100 000 km,Hybryda,Automatyczna,SUV,2 487 cm3,177 KM,5,Srebrny
Toyota,RAV4,2020,159 000 PLN,53 000 km,Hybryda,Automatyczna,SUV,2 487 cm3,177 KM,5,Bordowy
Toyota,ProAce,2020,60 500 PLN,94 000 km,Diesel,Manualna,Minivan,1 499 cm3,102 KM,4,Biały
Toyota,RAV4,2003,14 900 PLN,432 421 km,Diesel,Manualna,SUV,1 995 cm3,116 KM,5,Srebrny
Toyota,RAV4,2022,184 900 PLN,42 222 km,Hybryda,Automatyczna,SUV,2 487 cm3,177 KM,5,Biały
Toyota,Auris,2010,20 000 PLN,259 161 km,Diesel,Manualna,Kompakt,1 998 cm3,126 KM,5,Srebrny
Toyota,Corolla Verso,2006,14 000 PLN,311 000 km,Benzyna,Manualna,Minivan,1 794 cm3,129 KM,5,Srebrny
Toyota,RAV4,2017,92 500 PLN,150 050 km,Hybryda,Automatyczna,SUV,2 494 cm3,155 KM,5,Brązowy
Toyota,Corolla Verso,2005,16 700 PLN,158 000 km,Benzyna,Manualna,Minivan,1 794 cm3,129 KM,5,Srebrny
Toyota,Auris,2018,68 600 PLN,29 500 km,Hybryda,Automatyczna,Kompakt,1 798 cm3,99 KM,5,Srebrny
Toyota,Prius,2006,14 900 PLN,563 000 km,Benzyna+LPG,Automatyczna,Kompakt,1 497 cm3,78 KM,5,Srebrny
Toyota,Avensis,2011,25 000 PLN,296 112 km,Benzyna,Manualna,Kombi,1 798 cm3,147 KM,5,Biały
Toyota,Auris,2013,39 500 PLN,164 200 km,Benzyna,Manualna,Kompakt,1 598 cm3,132 KM,5,Czerwony
Toyota,Avensis,2015,38 900 PLN,227 000 km,Diesel,Manualna,Kombi,1 995 cm3,143 KM,5,Granatowy
Toyota,Starlet,1986,19 900 PLN,51 000 km,Benzyna,Manualna,Kompakt,992 cm3,54 KM,3,Czerwony
Toyota,C-HR,2018,93 900 PLN,73 000 km,Benzyna,Automatyczna,SUV,1 798 cm3,98 KM,5,Biały
Toyota,Yaris,2023,87 900 PLN,11 000 km,Hybryda,Automatyczna,Auta małe,1 490 cm3,92 KM,5,Biały
Toyota,Auris,2015,55 900 PLN,151 000 km,Hybryda,Automatyczna,Auta miejskie,1 798 cm3,99 KM,5,Srebrny
Toyota,RAV4,2014,77 900 PLN,144 000 km,Benzyna,Automatyczna,SUV,1 987 cm3,152 KM,5,Czerwony
Toyota,Yaris,2018,58 900 PLN,34 000 km,Hybryda,Automatyczna,Auta miejskie,1 497 cm3,74 KM,5,Szary
Toyota,Prius,2010,36 800 PLN,285 000 km,Hybryda,Automatyczna,Kompakt,1 798 cm3,99 KM,5,Biały
Toyota,Yaris,2021,129 900 PLN,30 000 km,Benzyna,Manualna,Kompakt,1 618 cm3,261 KM,3,Biały
Toyota,Tundra,2017,110 000 PLN,196 000 km,Benzyna,Automatyczna,SUV,5 663 cm3,386 KM,4,Biały
Toyota,Auris,2016,51 900 PLN,170 000 km,Hybryda,Automatyczna,Kombi,1 798 cm3,99 KM,5,Biały
Toyota,Auris,2018,65 000 PLN,72 000 km,Benzyna,Manualna,Auta małe,1 598 cm3,132 KM,5,Biały
Toyota,Corolla,2019,64 900 PLN,80 000 km,Hybryda,Automatyczna,Sedan,1 798 cm3,98 KM,4,Biały
Toyota,Prius+,2012,47 000 PLN,470 000 km,Benzyna+LPG,Automatyczna,Minivan,1 798 cm3,99 KM,5,Szary
Toyota,Verso,2013,36 900 PLN,222 010 km,Benzyna,Automatyczna,Minivan,1 798 cm3,147 KM,5,Czerwony
Toyota,Avensis,2008,13 499 PLN,333 000 km,Diesel,Manualna,Sedan,1 998 cm3,126 KM,5,Srebrny
Toyota,Mirai,2022,85 000 PLN,18 316 km,Wodór,Automatyczna,Sedan,,182 KM,5,Czerwony
Toyota,Prius,2015,52 000 PLN,150 000 km,Hybryda,Automatyczna,Kompakt,1 798 cm3,99 KM,5,Czerwony
Toyota,Auris,2011,20 000 PLN,186 000 km,Benzyna,Manualna,Kompakt,1 329 cm3,100 KM,5,Granatowy
Toyota,C-HR,2021,112 000 PLN,35 000 km,Hybryda,Automatyczna,SUV,1 798 cm3,98 KM,5,Czarny
Toyota,Sequoia,2017,177 000 PLN,49 267 km,Benzyna,Automatyczna,SUV,5 663 cm3,381 KM,5,Biały
Toyota,Prius,2016,39 900 PLN,381 000 km,Benzyna+LPG,Automatyczna,Sedan,1 798 cm3,99 KM,5,Szary
Toyota,Auris,2017,66 900 PLN,111 421 km,Hybryda,Automatyczna,Kompakt,1 798 cm3,99 KM,5,Bordowy
Toyota,Corolla,2008,17 200 PLN,240 000 km,Benzyna+LPG,Manualna,Sedan,1 598 cm3,124 KM,4,Srebrny
Toyota,Avensis,2013,44 000 PLN,145 100 km,Benzyna,Manualna,Kombi,1 798 cm3,147 KM,5,Srebrny
Toyota,RAV4,2016,73 000 PLN,287 000 km,Hybryda,Automatyczna,SUV,2 487 cm3,178 KM,5,Czarny
Toyota,Aygo,2019,39 900 PLN,51 770 km,Benzyna,Manualna,Auta małe,998 cm3,72 KM,5,Czerwony
Toyota,Avensis,2007,14 500 PLN,252 000 km,Benzyna+LPG,Manualna,Kombi,1 794 cm3,129 KM,5,Czarny
Toyota,Proace City Verso,2020,79 600 PLN,210 916 km,Diesel,Automatyczna,Minivan,1 499 cm3,130 KM,5,Szary
Toyota,C-HR,2023,83 900 PLN,30 000 km,Hybryda,Automatyczna,SUV,1 987 cm3,152 KM,5,Srebrny
Toyota,Auris,2008,18 750 PLN,225 300 km,Benzyna,Manualna,Kompakt,1 398 cm3,97 KM,5,Czarny
Toyota,Yaris,2016,45 500 PLN,171 047 km,Hybryda,Automatyczna,Kompakt,1 497 cm3,74 KM,5,Szary
Toyota,Avensis,2011,25 900 PLN,217 687 km,Diesel,Manualna,Kombi,1 998 cm3,124 KM,5,Czarny
Toyota,Avensis,2015,61 900 PLN,161 500 km,Benzyna+LPG,Manualna,Sedan,1 798 cm3,147 KM,5,Czarny
Toyota,Auris,2013,44 900 PLN,157 400 km,Benzyna,Manualna,Kompakt,1 598 cm3,132 KM,5,Biały
