Marka,Model,Rok produkcji,Cena,Przebieg,Rodzaj paliwa,Skrzynia biegów,Typ nadwozia,Pojemność skokowa,Moc,Liczba drzwi,Kolor
Volkswagen,Passat,2020,78 900 PLN,194 000 km,Diesel,Manualna,Kombi,1 968 cm3,150 KM,5,Srebrny
Volkswagen,Passat CC,2009,28 900 PLN,204 371 km,Benzyna,Manualna,Sedan,1 798 cm3,160 KM,4,Czarny
Volkswagen,Touareg,2006,8 900 PLN,293 000 km,Diesel,Manualna,SUV,2 460 cm3,174 KM,5,Szary
Volkswagen,Polo,2009,9 900 PLN,211 564 km,Benzyna+LPG,Manualna,Auta miejskie,1 198 cm3,60 KM,5,Czarny
Volkswagen,Caddy,2018,69 000 PLN,192 000 km,Diesel,Manualna,Minivan,1 968 cm3,150 KM,5,Biały
Volkswagen,Passat,2017,86 500 PLN,100 000 km,Benzyna,Automatyczna,Sedan,1 798 cm3,180 KM,5,Biały
Volkswagen,Golf Plus,2009,21 500 PLN,186 000 km,Diesel,Manualna,Minivan,1 968 cm3,110 KM,5,Czarny
Volkswagen,Golf,2009,24 000 PLN,83 851 km,Benzyna,Manualna,Kompakt,1 390 cm3,122 KM,5,Srebrny
Volkswagen,Golf,2007,13 500 PLN,308 807 km,Diesel,Manualna,Kompakt,1 896 cm3,90 KM,5,Srebrny
Volkswagen,New Beetle,1998,6 900 PLN,159 000 km,Diesel,Manualna,Coupe,1 896 cm3,90 KM,2,Żółty
Volkswagen,Sharan,2011,34 900 PLN,345 000 km,Diesel,Manualna,Minivan,1 968 cm3,140 KM,5,Czarny
Volkswagen,Touareg,2004,45 000 PLN,203 000 km,Benzyna+LPG,Automatyczna,SUV,4 172 cm3,310 KM,5,Srebrny
Volkswagen,Passat Alltrack,2013,47 900 PLN,274 000 km,Diesel,Automatyczna,Kombi,1 968 cm3,177 KM,5,Szary
Volkswagen,Golf,2020,92 000 PLN,106 700 km,Benzyna,Automatyczna,Kompakt,1 498 cm3,150 KM,5,Czarny
Volkswagen,Tiguan,2019,95 000 PLN,258 000 km,Diesel,Automatyczna,SUV,1 968 cm3,240 KM,5,Szary
Volkswagen,T-Roc,2023,112 000 PLN,53 000 km,Benzyna,Automatyczna,SUV,1 498 cm3,150 KM,5,Szary
Volkswagen,Passat,2019,79 950 PLN,183 000 km,Diesel,Automatyczna,Sedan,1 968 cm3,150 KM,4,Biały
Volkswagen,Golf,2024,196 900 PLN,1 km,Benzyna,,Coupe,1 984 cm3,,,Czerwony
