Marka,Model,Rok produkcji,Cena,Przebieg,Rodzaj paliwa,Skrzynia biegów,Typ nadwozia,Pojemność skokowa,Moc,Liczba drzwi,Kolor
Volvo,XC 40,2020,128 900 PLN,58 364 km,Hybryda,Automatyczna,SUV,1 969 cm3,197 KM,5,Biały
Volvo,XC 60,2015,82 000 PLN,167 500 km,Benzyna+LPG,Automatyczna,SUV,2 497 cm3,254 KM,5,Srebrny
Volvo,S90,2018,95 000 PLN,229 000 km,Diesel,Automatyczna,Sedan,1 969 cm3,190 KM,4,Czarny
Volvo,S80,2016,49 900 PLN,270 000 km,Diesel,Automatyczna,Sedan,1 969 cm3,181 KM,4,Granatowy
Volvo,XC 60,2009,38 500 PLN,305 646 km,Diesel,Manualna,SUV,2 400 cm3,175 KM,5,Czarny
Volvo,XC 60,2015,77 000 PLN,168 000 km,Diesel,Automatyczna,SUV,1 969 cm3,190 KM,5,Granatowy
Volvo,S80,2008,24 900 PLN,410 000 km,Diesel,Automatyczna,Sedan,2 400 cm3,185 KM,4,Srebrny
Volvo,XC 90,2021,205 000 PLN,53 000 km,Diesel,Automatyczna,SUV,1 969 cm3,235 KM,5,Granatowy
Volvo,XC 60,2022,199 000 PLN,41 500 km,Benzyna,Automatyczna,SUV,1 969 cm3,250 KM,5,Szary
Volvo,XC 90,2021,199 000 PLN,54 000 km,Benzyna,Automatyczna,SUV,1 969 cm3,320 KM,5,Złoty
Volvo,XC 90,2016,135 000 PLN,193 500 km,Diesel,Automatyczna,SUV,1 969 cm3,225 KM,5,Granatowy
Volvo,XC 90,2017,72 600 PLN,130 000 km,Benzyna,Automatyczna,SUV,1 969 cm3,320 KM,5,Czarny
Volvo,XC 60,2015,46 900 PLN,288 000 km,Diesel,Manualna,SUV,1 969 cm3,150 KM,5,Brązowy
Volvo,XC 70,2016,56 000 PLN,373 989 km,Diesel,Automatyczna,SUV,2 400 cm3,181 KM,5,Czarny
Volvo,S60,2011,28 000 PLN,341 722 km,Diesel,Manualna,Sedan,1 984 cm3,163 KM,4,Szary
Volvo,XC 60,2021,204 900 PLN,75 000 km,Diesel,Automatyczna,SUV,1 969 cm3,197 KM,5,Czarny
Volvo,V90 Cross Country,2019,70 000 PLN,99 500 km,Diesel,Automatyczna,Kombi,1 969 cm3,190 KM,5,Biały
Volvo,XC 60,2021,194 900 PLN,44 750 km,Diesel,Automatyczna,SUV,1 969 cm3,190 KM,5,Czerwony
Volvo,V60,2020,107 900 PLN,151 000 km,Diesel,Automatyczna,Kombi,1 969 cm3,197 KM,5,Inny kolor
Volvo,S60,2015,46 000 PLN,249 500 km,Diesel,Manualna,Sedan,1 969 cm3,150 KM,4,Czarny
Volvo,XC 60,2017,82 300 PLN,219 000 km,Diesel,Automatyczna,SUV,2 400 cm3,190 KM,5,Niebieski
Volvo,V40,2015,28 000 PLN,308 000 km,Diesel,Manualna,Kompakt,1 969 cm3,120 KM,5,Szary
Volvo,XC 90,2007,22 500 PLN,300 000 km,Diesel,Automatyczna,SUV,2 400 cm3,185 KM,5,Szary
